"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Cork Suburbs 18/306";2;19;10;9
"Cork Suburbs 18/306";3;16;12;4
"Cork Suburbs 18/306";4;15;9;6
"Cork Suburbs 18/306";5;27;16;11
"Cork Suburbs 18/306";6;18;11;7
"Cork Suburbs 18/306";7;18;8;10
"Cork Suburbs 18/306";8;21;12;9
"Cork Suburbs 18/306";9;22;8;14
"Cork Suburbs 18/306";10;10;7;3
"Cork Suburbs 18/306";11;21;12;9
"Cork Suburbs 18/306";12;11;8;3
"Cork Suburbs 18/306";13;18;10;8
"Cork Suburbs 18/306";14;17;9;8
"Cork Suburbs 18/306";15;14;6;8
"Cork Suburbs 18/306";16;14;5;9
"Cork Suburbs 18/306";17;11;6;5
"Cork Suburbs 18/306";18;12;4;8
"Cork Suburbs 18/306";"19+";834;406;428
"Cork Suburbs 18/306";"Total";1160;572;588
"Cork Suburbs 18/308";0;21;14;7
"Cork Suburbs 18/308";1;26;16;10
"Cork Suburbs 18/308";2;33;17;16
"Cork Suburbs 18/308";3;27;15;12
"Cork Suburbs 18/308";4;28;13;15
"Cork Suburbs 18/308";5;24;13;11
"Cork Suburbs 18/308";6;35;21;14
"Cork Suburbs 18/308";7;24;10;14
"Cork Suburbs 18/308";8;26;14;12
"Cork Suburbs 18/308";9;28;16;12
"Cork Suburbs 18/308";10;25;13;12
"Cork Suburbs 18/308";11;30;18;12
"Cork Suburbs 18/308";12;24;12;12
"Cork Suburbs 18/308";13;23;13;10
"Cork Suburbs 18/308";14;24;14;10
"Cork Suburbs 18/308";15;27;11;16
"Cork Suburbs 18/308";16;24;12;12
"Cork Suburbs 18/308";17;23;11;12
"Cork Suburbs 18/308";18;22;11;11
"Cork Suburbs 18/308";"19+";830;421;409
"Cork Suburbs 18/308";"Total";1324;685;639
"Cork Suburbs 18/316";0;22;12;10
"Cork Suburbs 18/316";1;30;15;15
"Cork Suburbs 18/316";2;27;12;15
"Cork Suburbs 18/316";3;25;11;14
"Cork Suburbs 18/316";4;23;15;8
"Cork Suburbs 18/316";5;22;13;9
"Cork Suburbs 18/316";6;27;13;14
"Cork Suburbs 18/316";7;18;9;9
"Cork Suburbs 18/316";8;24;10;14
"Cork Suburbs 18/316";9;21;6;15
"Cork Suburbs 18/316";10;22;14;8
"Cork Suburbs 18/316";11;15;6;9
"Cork Suburbs 18/316";12;17;10;7
"Cork Suburbs 18/316";13;14;6;8
"Cork Suburbs 18/316";14;19;6;13
"Cork Suburbs 18/316";15;17;10;7
"Cork Suburbs 18/316";16;14;6;8
"Cork Suburbs 18/316";17;11;7;4
"Cork Suburbs 18/316";18;8;5;3
"Cork Suburbs 18/316";"19+";584;290;294
"Cork Suburbs 18/316";"Total";960;476;484
"Cork Suburbs 18/317";0;8;3;5
"Cork Suburbs 18/317";1;11;6;5
"Cork Suburbs 18/317";2;8;6;2
"Cork Suburbs 18/317";3;8;4;4
"Cork Suburbs 18/317";4;6;3;3
"Cork Suburbs 18/317";5;5;3;2
"Cork Suburbs 18/317";6;4;1;3
"Cork Suburbs 18/317";7;5;4;1
"Cork Suburbs 18/317";8;2;1;1
"Cork Suburbs 18/317";9;1;0;1
"Cork Suburbs 18/317";10;3;2;1
"Cork Suburbs 18/317";11;1;1;0
"Cork Suburbs 18/317";12;6;5;1
"Cork Suburbs 18/317";13;3;0;3
"Cork Suburbs 18/317";14;2;2;0
"Cork Suburbs 18/317";15;3;1;2
"Cork Suburbs 18/317";16;2;0;2
"Cork Suburbs 18/317";17;3;0;3
"Cork Suburbs 18/317";18;3;1;2
"Cork Suburbs 18/317";"19+";746;351;395
"Cork Suburbs 18/317";"Total";830;394;436
"Cork Suburbs 18/322";0;21;14;7
"Cork Suburbs 18/322";1;20;11;9
"Cork Suburbs 18/322";2;22;11;11
"Cork Suburbs 18/322";3;21;9;12
"Cork Suburbs 18/322";4;17;11;6
"Cork Suburbs 18/322";5;22;14;8
"Cork Suburbs 18/322";6;14;8;6
"Cork Suburbs 18/322";7;18;8;10
"Cork Suburbs 18/322";8;17;8;9
"Cork Suburbs 18/322";9;12;5;7
"Cork Suburbs 18/322";10;11;7;4
"Cork Suburbs 18/322";11;16;9;7
"Cork Suburbs 18/322";12;8;5;3
"Cork Suburbs 18/322";13;18;10;8
"Cork Suburbs 18/322";14;13;6;7
"Cork Suburbs 18/322";15;12;5;7
"Cork Suburbs 18/322";16;13;5;8
"Cork Suburbs 18/322";17;16;10;6
"Cork Suburbs 18/322";18;11;7;4
"Cork Suburbs 18/322";"19+";832;417;415
"Cork Suburbs 18/322";"Total";1134;580;554
"Cork Suburbs 18/339";0;14;8;6
"Cork Suburbs 18/339";1;20;12;8
"Cork Suburbs 18/339";2;26;14;12
"Cork Suburbs 18/339";3;15;9;6
"Cork Suburbs 18/339";4;16;12;4
"Cork Suburbs 18/339";5;8;4;4
"Cork Suburbs 18/339";6;16;8;8
"Cork Suburbs 18/339";7;12;4;8
"Cork Suburbs 18/339";8;8;3;5
"Cork Suburbs 18/339";9;12;6;6
"Cork Suburbs 18/339";10;9;5;4
"Cork Suburbs 18/339";11;10;7;3
"Cork Suburbs 18/339";12;12;5;7
"Cork Suburbs 18/339";13;5;3;2
"Cork Suburbs 18/339";14;5;2;3
"Cork Suburbs 18/339";15;8;5;3
"Cork Suburbs 18/339";16;9;3;6
"Cork Suburbs 18/339";17;7;1;6
"Cork Suburbs 18/339";18;13;8;5
"Cork Suburbs 18/339";"19+";707;331;376
"Cork Suburbs 18/339";"Total";932;450;482
"Cork Suburbs 18/340";0;14;6;8
"Cork Suburbs 18/340";1;11;6;5
"Cork Suburbs 18/340";2;8;3;5
"Cork Suburbs 18/340";3;8;4;4
"Cork Suburbs 18/340";4;7;4;3
"Cork Suburbs 18/340";5;5;3;2
"Cork Suburbs 18/340";6;8;5;3
"Cork Suburbs 18/340";7;2;2;0
"Cork Suburbs 18/340";8;6;1;5
"Cork Suburbs 18/340";9;2;2;0
"Cork Suburbs 18/340";10;3;2;1
"Cork Suburbs 18/340";11;3;0;3
"Cork Suburbs 18/340";12;3;2;1
"Cork Suburbs 18/340";13;10;6;4
"Cork Suburbs 18/340";14;5;1;4
"Cork Suburbs 18/340";15;5;2;3
"Cork Suburbs 18/340";16;3;2;1
"Cork Suburbs 18/340";17;4;2;2
"Cork Suburbs 18/340";18;8;2;6
"Cork Suburbs 18/340";"19+";557;299;258
"Cork Suburbs 18/340";"Total";672;354;318
"Cork Suburbs 18/341";0;19;13;6
"Cork Suburbs 18/341";1;8;5;3
"Cork Suburbs 18/341";2;12;5;7
"Cork Suburbs 18/341";3;12;6;6
"Cork Suburbs 18/341";4;14;6;8
"Cork Suburbs 18/341";5;13;7;6
"Cork Suburbs 18/341";6;8;3;5
"Cork Suburbs 18/341";7;9;5;4
"Cork Suburbs 18/341";8;12;4;8
"Cork Suburbs 18/341";9;7;4;3
"Cork Suburbs 18/341";10;10;7;3
"Cork Suburbs 18/341";11;9;4;5
"Cork Suburbs 18/341";12;8;6;2
"Cork Suburbs 18/341";13;4;4;0
"Cork Suburbs 18/341";14;6;3;3
"Cork Suburbs 18/341";15;3;1;2
"Cork Suburbs 18/341";16;2;2;0
"Cork Suburbs 18/341";17;9;4;5
"Cork Suburbs 18/341";18;5;2;3
"Cork Suburbs 18/341";"19+";669;294;375
"Cork Suburbs 18/341";"Total";839;385;454
"Cork Suburbs 18/343";0;23;10;13
"Cork Suburbs 18/343";1;19;9;10
"Cork Suburbs 18/343";2;19;8;11
"Cork Suburbs 18/343";3;15;10;5
"Cork Suburbs 18/343";4;17;12;5
"Cork Suburbs 18/343";5;18;6;12
"Cork Suburbs 18/343";6;20;11;9
"Cork Suburbs 18/343";7;7;2;5
"Cork Suburbs 18/343";8;3;1;2
"Cork Suburbs 18/343";9;9;5;4
"Cork Suburbs 18/343";10;7;4;3
"Cork Suburbs 18/343";11;4;3;1
"Cork Suburbs 18/343";12;8;1;7
"Cork Suburbs 18/343";13;5;0;5
"Cork Suburbs 18/343";14;6;2;4
"Cork Suburbs 18/343";15;3;1;2
"Cork Suburbs 18/343";16;2;0;2
"Cork Suburbs 18/343";17;4;1;3
"Cork Suburbs 18/343";18;4;3;1
"Cork Suburbs 18/343";"19+";522;254;268
"Cork Suburbs 18/343";"Total";715;343;372
"Cork Suburbs 18/344";0;14;6;8
"Cork Suburbs 18/344";1;15;5;10
"Cork Suburbs 18/344";2;15;5;10
"Cork Suburbs 18/344";3;15;10;5
"Cork Suburbs 18/344";4;9;4;5
"Cork Suburbs 18/344";5;8;6;2
"Cork Suburbs 18/344";6;10;6;4
"Cork Suburbs 18/344";7;11;7;4
"Cork Suburbs 18/344";8;7;5;2
"Cork Suburbs 18/344";9;10;6;4
"Cork Suburbs 18/344";10;7;3;4
"Cork Suburbs 18/344";11;10;5;5
"Cork Suburbs 18/344";12;5;2;3
"Cork Suburbs 18/344";13;11;5;6
"Cork Suburbs 18/344";14;2;1;1
"Cork Suburbs 18/344";15;8;5;3
"Cork Suburbs 18/344";16;7;1;6
"Cork Suburbs 18/344";17;10;3;7
"Cork Suburbs 18/344";18;10;6;4
"Cork Suburbs 18/344";"19+";609;295;314
"Cork Suburbs 18/344";"Total";793;386;407
"Cork Suburbs 18/345";0;20;8;12
"Cork Suburbs 18/345";1;24;13;11
"Cork Suburbs 18/345";2;18;7;11
"Cork Suburbs 18/345";3;17;6;11
"Cork Suburbs 18/345";4;21;10;11
"Cork Suburbs 18/345";5;22;9;13
"Cork Suburbs 18/345";6;37;21;16
"Cork Suburbs 18/345";7;17;9;8
"Cork Suburbs 18/345";8;29;15;14
"Cork Suburbs 18/345";9;31;17;14
"Cork Suburbs 18/345";10;26;13;13
"Cork Suburbs 18/345";11;25;12;13
"Cork Suburbs 18/345";12;28;12;16
"Cork Suburbs 18/345";13;24;12;12
"Cork Suburbs 18/345";14;27;16;11
"Cork Suburbs 18/345";15;21;10;11
"Cork Suburbs 18/345";16;21;10;11
"Cork Suburbs 18/345";17;8;7;1
"Cork Suburbs 18/345";18;11;5;6
"Cork Suburbs 18/345";"19+";731;343;388
"Cork Suburbs 18/345";"Total";1158;555;603
"Cork Suburbs 18/346";0;14;9;5
"Cork Suburbs 18/346";1;11;5;6
"Cork Suburbs 18/346";2;11;4;7
"Cork Suburbs 18/346";3;10;8;2
"Cork Suburbs 18/346";4;8;3;5
"Cork Suburbs 18/346";5;10;4;6
"Cork Suburbs 18/346";6;5;2;3
"Cork Suburbs 18/346";7;9;4;5
"Cork Suburbs 18/346";8;5;2;3
"Cork Suburbs 18/346";9;3;1;2
"Cork Suburbs 18/346";10;6;3;3
"Cork Suburbs 18/346";11;5;4;1
"Cork Suburbs 18/346";12;1;1;0
"Cork Suburbs 18/346";13;4;2;2
"Cork Suburbs 18/346";14;4;2;2
"Cork Suburbs 18/346";15;2;1;1
"Cork Suburbs 18/346";16;1;0;1
"Cork Suburbs 18/346";17;4;1;3
"Cork Suburbs 18/346";18;1;0;1
"Cork Suburbs 18/346";"19+";470;232;238
"Cork Suburbs 18/346";"Total";584;288;296
"Cork Suburbs 18/347";0;17;9;8
"Cork Suburbs 18/347";1;15;6;9
"Cork Suburbs 18/347";2;17;6;11
"Cork Suburbs 18/347";3;10;8;2
"Cork Suburbs 18/347";4;11;3;8
"Cork Suburbs 18/347";5;15;6;9
"Cork Suburbs 18/347";6;12;7;5
"Cork Suburbs 18/347";7;7;2;5
"Cork Suburbs 18/347";8;16;6;10
"Cork Suburbs 18/347";9;13;6;7
"Cork Suburbs 18/347";10;15;8;7
"Cork Suburbs 18/347";11;12;6;6
"Cork Suburbs 18/347";12;16;5;11
"Cork Suburbs 18/347";13;11;4;7
"Cork Suburbs 18/347";14;10;8;2
"Cork Suburbs 18/347";15;12;7;5
"Cork Suburbs 18/347";16;17;11;6
"Cork Suburbs 18/347";17;11;6;5
"Cork Suburbs 18/347";18;8;6;2
"Cork Suburbs 18/347";"19+";744;365;379
"Cork Suburbs 18/347";"Total";989;485;504
"Cork Suburbs 18/348";0;9;6;3
"Cork Suburbs 18/348";1;14;4;10
"Cork Suburbs 18/348";2;17;10;7
"Cork Suburbs 18/348";3;18;9;9
"Cork Suburbs 18/348";4;16;6;10
"Cork Suburbs 18/348";5;25;9;16
"Cork Suburbs 18/348";6;18;10;8
"Cork Suburbs 18/348";7;26;12;14
"Cork Suburbs 18/348";8;20;10;10
"Cork Suburbs 18/348";9;17;9;8
"Cork Suburbs 18/348";10;20;10;10
"Cork Suburbs 18/348";11;18;6;12
"Cork Suburbs 18/348";12;20;8;12
"Cork Suburbs 18/348";13;22;13;9
"Cork Suburbs 18/348";14;20;14;6
"Cork Suburbs 18/348";15;20;6;14
"Cork Suburbs 18/348";16;17;7;10
"Cork Suburbs 18/348";17;19;8;11
"Cork Suburbs 18/348";18;15;7;8
"Cork Suburbs 18/348";"19+";890;436;454
"Cork Suburbs 18/348";"Total";1241;600;641
"Limerick City and Suburbs  ";0;1195;625;570
"Limerick City and Suburbs  ";1;1090;576;514
"Limerick City and Suburbs  ";2;1107;553;554
"Limerick City and Suburbs  ";3;1112;533;579
"Limerick City and Suburbs  ";4;1129;560;569
"Limerick City and Suburbs  ";5;1016;518;498
"Limerick City and Suburbs  ";6;1092;541;551
"Limerick City and Suburbs  ";7;1074;527;547
"Limerick City and Suburbs  ";8;1023;529;494
"Limerick City and Suburbs  ";9;1056;538;518
"Limerick City and Suburbs  ";10;963;462;501
"Limerick City and Suburbs  ";11;969;513;456
"Limerick City and Suburbs  ";12;917;456;461
"Limerick City and Suburbs  ";13;1000;491;509
"Limerick City and Suburbs  ";14;1034;513;521
"Limerick City and Suburbs  ";15;1034;531;503
"Limerick City and Suburbs  ";16;1060;559;501
"Limerick City and Suburbs  ";17;1106;577;529
"Limerick City and Suburbs  ";18;1685;787;898
"Limerick City and Suburbs  ";"19+";66449;32524;33925
"Limerick City and Suburbs  ";"Total";87111;42913;44198
"Limerick City 20 ";0;686;350;336
"Limerick City 20 ";1;606;325;281
"Limerick City 20 ";2;638;317;321
"Limerick City 20 ";3;611;290;321
"Limerick City 20 ";4;659;344;315
"Limerick City 20 ";5;589;294;295
"Limerick City 20 ";6;660;340;320
"Limerick City 20 ";7;638;324;314
"Limerick City 20 ";8;628;320;308
"Limerick City 20 ";9;642;331;311
"Limerick City 20 ";10;597;289;308
"Limerick City 20 ";11;580;297;283
"Limerick City 20 ";12;569;273;296
"Limerick City 20 ";13;617;299;318
"Limerick City 20 ";14;651;343;308
"Limerick City 20 ";15;689;358;331
"Limerick City 20 ";16;668;352;316
"Limerick City 20 ";17;701;356;345
"Limerick City 20 ";18;922;386;536
"Limerick City 20 ";"19+";40188;19510;20678
"Limerick City 20 ";"Total";52539;25698;26841
"Limerick City 20/001";0;15;6;9
"Limerick City 20/001";1;11;8;3
"Limerick City 20/001";2;27;13;14
"Limerick City 20/001";3;20;13;7
"Limerick City 20/001";4;22;15;7
"Limerick City 20/001";5;20;9;11
"Limerick City 20/001";6;23;10;13
"Limerick City 20/001";7;18;9;9
"Limerick City 20/001";8;13;5;8
"Limerick City 20/001";9;16;8;8
"Limerick City 20/001";10;20;11;9
"Limerick City 20/001";11;19;9;10
"Limerick City 20/001";12;9;3;6
"Limerick City 20/001";13;21;12;9
"Limerick City 20/001";14;12;7;5
"Limerick City 20/001";15;14;6;8
"Limerick City 20/001";16;16;9;7
"Limerick City 20/001";17;18;8;10
"Limerick City 20/001";18;15;7;8
"Limerick City 20/001";"19+";771;368;403
"Limerick City 20/001";"Total";1100;536;564
"Limerick City 20/002";0;8;4;4
"Limerick City 20/002";1;7;3;4
"Limerick City 20/002";2;8;2;6
"Limerick City 20/002";3;7;4;3
"Limerick City 20/002";4;19;7;12
"Limerick City 20/002";5;8;6;2
"Limerick City 20/002";6;11;4;7
"Limerick City 20/002";7;10;4;6
"Limerick City 20/002";8;11;5;6
"Limerick City 20/002";9;15;9;6
"Limerick City 20/002";10;7;4;3
"Limerick City 20/002";11;10;3;7
"Limerick City 20/002";12;12;5;7
"Limerick City 20/002";13;7;5;2
"Limerick City 20/002";14;4;3;1
"Limerick City 20/002";15;9;2;7
"Limerick City 20/002";16;11;4;7
"Limerick City 20/002";17;14;6;8
"Limerick City 20/002";18;13;7;6
"Limerick City 20/002";"19+";660;286;374
"Limerick City 20/002";"Total";851;373;478
"Limerick City 20/003";0;10;3;7
"Limerick City 20/003";1;7;2;5
"Limerick City 20/003";2;8;2;6
"Limerick City 20/003";3;11;2;9
"Limerick City 20/003";4;9;7;2
"Limerick City 20/003";5;10;3;7
"Limerick City 20/003";6;13;6;7
"Limerick City 20/003";7;7;5;2
"Limerick City 20/003";8;9;5;4
"Limerick City 20/003";9;11;5;6
"Limerick City 20/003";10;12;3;9
"Limerick City 20/003";11;9;5;4
"Limerick City 20/003";12;14;7;7
"Limerick City 20/003";13;12;5;7
"Limerick City 20/003";14;15;10;5
"Limerick City 20/003";15;17;8;9
"Limerick City 20/003";16;17;5;12
"Limerick City 20/003";17;8;6;2
"Limerick City 20/003";18;10;4;6
"Limerick City 20/003";"19+";778;366;412
"Limerick City 20/003";"Total";987;459;528
"Limerick City 20/004";0;7;3;4
"Limerick City 20/004";1;12;6;6
"Limerick City 20/004";2;14;9;5
"Limerick City 20/004";3;6;1;5
"Limerick City 20/004";4;9;6;3
"Limerick City 20/004";5;5;2;3
"Limerick City 20/004";6;5;0;5
"Limerick City 20/004";7;8;3;5
"Limerick City 20/004";8;11;6;5
"Limerick City 20/004";9;6;3;3
"Limerick City 20/004";10;5;5;0
"Limerick City 20/004";11;4;3;1
"Limerick City 20/004";12;8;3;5
"Limerick City 20/004";13;5;2;3
"Limerick City 20/004";14;3;2;1
"Limerick City 20/004";15;2;2;0
"Limerick City 20/004";16;6;5;1
"Limerick City 20/004";17;11;5;6
"Limerick City 20/004";18;16;6;10
"Limerick City 20/004";"19+";791;356;435
"Limerick City 20/004";"Total";934;428;506
"Limerick City 20/005";0;16;10;6
"Limerick City 20/005";1;16;12;4
"Limerick City 20/005";2;17;7;10
"Limerick City 20/005";3;9;3;6
"Limerick City 20/005";4;6;4;2
"Limerick City 20/005";5;15;6;9
"Limerick City 20/005";6;6;5;1
"Limerick City 20/005";7;6;2;4
"Limerick City 20/005";8;5;2;3
"Limerick City 20/005";9;5;3;2
"Limerick City 20/005";10;5;2;3
"Limerick City 20/005";11;4;2;2
"Limerick City 20/005";12;4;0;4
"Limerick City 20/005";13;9;3;6
"Limerick City 20/005";14;7;4;3
"Limerick City 20/005";15;7;2;5
"Limerick City 20/005";16;4;2;2
"Limerick City 20/005";17;4;1;3
"Limerick City 20/005";18;8;2;6
"Limerick City 20/005";"19+";626;349;277
"Limerick City 20/005";"Total";779;421;358
"Limerick City 20/006";0;17;8;9
"Limerick City 20/006";1;8;5;3
"Limerick City 20/006";2;11;5;6
"Limerick City 20/006";3;12;1;11
"Limerick City 20/006";4;11;6;5
"Limerick City 20/006";5;15;5;10
"Limerick City 20/006";6;9;3;6
"Limerick City 20/006";7;6;1;5
"Limerick City 20/006";8;9;3;6
"Limerick City 20/006";9;14;5;9
"Limerick City 20/006";10;7;2;5
"Limerick City 20/006";11;6;5;1
"Limerick City 20/006";12;5;3;2
"Limerick City 20/006";13;9;4;5
"Limerick City 20/006";14;15;8;7
"Limerick City 20/006";15;18;9;9
"Limerick City 20/006";16;16;7;9
"Limerick City 20/006";17;11;7;4
"Limerick City 20/006";18;13;5;8
"Limerick City 20/006";"19+";889;439;450
"Limerick City 20/006";"Total";1101;531;570
"Limerick City 20/007";0;11;4;7
"Limerick City 20/007";1;10;2;8
"Limerick City 20/007";2;4;2;2
"Limerick City 20/007";3;9;5;4
"Limerick City 20/007";4;9;5;4
"Limerick City 20/007";5;6;5;1
"Limerick City 20/007";6;4;2;2
"Limerick City 20/007";7;9;5;4
"Limerick City 20/007";8;7;6;1
"Limerick City 20/007";9;5;4;1
"Limerick City 20/007";10;12;6;6
"Limerick City 20/007";11;5;3;2
"Limerick City 20/007";12;9;6;3
"Limerick City 20/007";13;8;1;7
"Limerick City 20/007";14;11;6;5
"Limerick City 20/007";15;10;4;6
"Limerick City 20/007";16;14;12;2
"Limerick City 20/007";17;11;5;6
"Limerick City 20/007";18;17;8;9
"Limerick City 20/007";"19+";589;282;307
"Limerick City 20/007";"Total";760;373;387
"Limerick City 20/008";0;25;16;9
"Limerick City 20/008";1;19;10;9
"Limerick City 20/008";2;12;5;7
"Limerick City 20/008";3;20;10;10
"Limerick City 20/008";4;11;6;5
"Limerick City 20/008";5;10;6;4
"Limerick City 20/008";6;18;6;12
"Limerick City 20/008";7;26;14;12
"Limerick City 20/008";8;19;10;9
"Limerick City 20/008";9;14;8;6
"Limerick City 20/008";10;19;12;7
"Limerick City 20/008";11;19;12;7
"Limerick City 20/008";12;16;4;12
"Limerick City 20/008";13;16;10;6
"Limerick City 20/008";14;20;11;9
"Limerick City 20/008";15;14;7;7
"Limerick City 20/008";16;14;6;8
"Limerick City 20/008";17;11;7;4
"Limerick City 20/008";18;17;5;12
"Limerick City 20/008";"19+";615;286;329
"Limerick City 20/008";"Total";935;451;484
"Limerick City 20/009";0;21;12;9
"Limerick City 20/009";1;21;6;15
"Limerick City 20/009";2;15;10;5
"Limerick City 20/009";3;19;9;10
"Limerick City 20/009";4;13;4;9
"Limerick City 20/009";5;22;15;7
"Limerick City 20/009";6;21;10;11
"Limerick City 20/009";7;14;9;5
"Limerick City 20/009";8;18;9;9
"Limerick City 20/009";9;13;5;8
"Limerick City 20/009";10;15;10;5
"Limerick City 20/009";11;13;7;6
"Limerick City 20/009";12;15;4;11
"Limerick City 20/009";13;17;12;5
"Limerick City 20/009";14;12;9;3
"Limerick City 20/009";15;13;9;4
"Limerick City 20/009";16;21;10;11
"Limerick City 20/009";17;17;15;2
"Limerick City 20/009";18;12;8;4
"Limerick City 20/009";"19+";665;325;340
"Limerick City 20/009";"Total";977;498;479
"Limerick City 20/010";0;4;2;2
"Limerick City 20/010";1;4;3;1
"Limerick City 20/010";2;4;3;1
"Limerick City 20/010";3;5;3;2
"Limerick City 20/010";4;6;1;5
"Limerick City 20/010";5;8;5;3
"Limerick City 20/010";6;5;2;3
"Limerick City 20/010";7;9;4;5
"Limerick City 20/010";8;7;3;4
"Limerick City 20/010";9;11;5;6
"Limerick City 20/010";10;14;6;8
"Limerick City 20/010";11;6;3;3
"Limerick City 20/010";12;5;2;3
"Limerick City 20/010";13;8;3;5
"Limerick City 20/010";14;6;3;3
"Limerick City 20/010";15;12;4;8
"Limerick City 20/010";16;12;6;6
"Limerick City 20/010";17;4;3;1
"Limerick City 20/010";18;8;4;4
"Limerick City 20/010";"19+";648;326;322
"Limerick City 20/010";"Total";786;391;395
"Limerick City 20/011";0;19;5;14
"Limerick City 20/011";1;11;6;5
"Limerick City 20/011";2;8;1;7
"Limerick City 20/011";3;10;5;5
"Limerick City 20/011";4;7;1;6
"Limerick City 20/011";5;10;5;5
"Limerick City 20/011";6;12;4;8
"Limerick City 20/011";7;9;3;6
"Limerick City 20/011";8;15;6;9
"Limerick City 20/011";9;7;6;1
"Limerick City 20/011";10;4;2;2
"Limerick City 20/011";11;12;7;5
"Limerick City 20/011";12;12;10;2
"Limerick City 20/011";13;16;7;9
"Limerick City 20/011";14;10;2;8
"Limerick City 20/011";15;14;7;7
"Limerick City 20/011";16;12;5;7
"Limerick City 20/011";17;18;11;7
"Limerick City 20/011";18;15;10;5
"Limerick City 20/011";"19+";590;300;290
"Limerick City 20/011";"Total";811;403;408
"Limerick City 20/013, 20/012";0;16;9;7
"Limerick City 20/013, 20/012";1;20;8;12
"Limerick City 20/013, 20/012";2;17;7;10
"Limerick City 20/013, 20/012";3;24;11;13
"Limerick City 20/013, 20/012";4;18;12;6
"Limerick City 20/013, 20/012";5;16;7;9
"Limerick City 20/013, 20/012";6;25;13;12
"Limerick City 20/013, 20/012";7;22;13;9
"Limerick City 20/013, 20/012";8;21;12;9
"Limerick City 20/013, 20/012";9;19;9;10
"Limerick City 20/013, 20/012";10;22;8;14
"Limerick City 20/013, 20/012";11;18;10;8
"Limerick City 20/013, 20/012";12;23;12;11
"Limerick City 20/013, 20/012";13;23;14;9
"Limerick City 20/013, 20/012";14;23;9;14
"Limerick City 20/013, 20/012";15;29;17;12
"Limerick City 20/013, 20/012";16;21;14;7
"Limerick City 20/013, 20/012";17;18;9;9
"Limerick City 20/013, 20/012";18;22;9;13
"Limerick City 20/013, 20/012";"19+";1496;778;718
"Limerick City 20/013, 20/012";"Total";1893;981;912
"Limerick City 20/014";0;13;4;9
"Limerick City 20/014";1;12;5;7
"Limerick City 20/014";2;11;5;6
"Limerick City 20/014";3;7;2;5
"Limerick City 20/014";4;6;2;4
"Limerick City 20/014";5;8;1;7
"Limerick City 20/014";6;4;3;1
"Limerick City 20/014";7;5;4;1
"Limerick City 20/014";8;8;3;5
"Limerick City 20/014";9;9;4;5
"Limerick City 20/014";10;5;2;3
"Limerick City 20/014";11;6;2;4
"Limerick City 20/014";12;9;5;4
"Limerick City 20/014";13;5;2;3
"Limerick City 20/014";14;10;7;3
"Limerick City 20/014";15;9;4;5
"Limerick City 20/014";16;8;2;6
"Limerick City 20/014";17;8;5;3
"Limerick City 20/014";18;10;4;6
"Limerick City 20/014";"19+";713;397;316
"Limerick City 20/014";"Total";866;463;403
"Limerick City 20/015";0;4;2;2
"Limerick City 20/015";1;10;4;6
"Limerick City 20/015";2;12;5;7
"Limerick City 20/015";3;6;3;3
"Limerick City 20/015";4;12;5;7
"Limerick City 20/015";5;8;2;6
"Limerick City 20/015";6;6;4;2
"Limerick City 20/015";7;8;4;4
"Limerick City 20/015";8;8;5;3
"Limerick City 20/015";9;9;4;5
"Limerick City 20/015";10;11;4;7
"Limerick City 20/015";11;8;2;6
"Limerick City 20/015";12;10;8;2
"Limerick City 20/015";13;8;1;7
"Limerick City 20/015";14;12;9;3
"Limerick City 20/015";15;8;5;3
"Limerick City 20/015";16;8;5;3
"Limerick City 20/015";17;8;3;5
"Limerick City 20/015";18;8;8;0
"Limerick City 20/015";"19+";555;263;292
"Limerick City 20/015";"Total";719;346;373
"Limerick City 20/016";0;19;9;10
"Limerick City 20/016";1;9;8;1
"Limerick City 20/016";2;7;5;2
"Limerick City 20/016";3;11;4;7
"Limerick City 20/016";4;9;5;4
"Limerick City 20/016";5;12;5;7
"Limerick City 20/016";6;20;11;9
"Limerick City 20/016";7;14;7;7
"Limerick City 20/016";8;15;9;6
"Limerick City 20/016";9;11;7;4
"Limerick City 20/016";10;17;5;12
"Limerick City 20/016";11;18;6;12
"Limerick City 20/016";12;11;7;4
"Limerick City 20/016";13;19;8;11
"Limerick City 20/016";14;12;7;5
"Limerick City 20/016";15;14;7;7
"Limerick City 20/016";16;16;10;6
"Limerick City 20/016";17;26;8;18
"Limerick City 20/016";18;16;8;8
"Limerick City 20/016";"19+";641;307;334
"Limerick City 20/016";"Total";917;443;474
"Limerick City 20/017";0;11;7;4
"Limerick City 20/017";1;11;4;7
"Limerick City 20/017";2;8;3;5
"Limerick City 20/017";3;9;6;3
"Limerick City 20/017";4;13;4;9
"Limerick City 20/017";5;14;7;7
"Limerick City 20/017";6;8;5;3
"Limerick City 20/017";7;15;10;5
"Limerick City 20/017";8;8;2;6
"Limerick City 20/017";9;20;11;9
"Limerick City 20/017";10;15;6;9
"Limerick City 20/017";11;11;3;8
"Limerick City 20/017";12;7;3;4
"Limerick City 20/017";13;10;8;2
"Limerick City 20/017";14;18;5;13
"Limerick City 20/017";15;9;5;4
"Limerick City 20/017";16;13;8;5
"Limerick City 20/017";17;9;8;1
"Limerick City 20/017";18;10;5;5
