"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Cork Suburbs 18/212";"15 - 19 years";46;46;0;0;0;0;49;49;0;0;0;0
"Cork Suburbs 18/212";"20 - 24 years";59;59;0;0;0;0;67;64;3;0;0;0
"Cork Suburbs 18/212";"25 - 29 years";47;40;7;0;0;0;53;49;3;0;0;1
"Cork Suburbs 18/212";"30 - 34 years";32;21;9;2;0;0;35;21;13;0;1;0
"Cork Suburbs 18/212";"35 - 39 years";25;5;19;1;0;0;33;10;21;2;0;0
"Cork Suburbs 18/212";"40 - 44 years";36;11;25;0;0;0;37;4;27;0;4;2
"Cork Suburbs 18/212";"45 - 49 years";36;1;35;0;0;0;44;3;36;2;1;2
"Cork Suburbs 18/212";"50 - 54 years";52;2;44;2;2;2;72;10;51;6;3;2
"Cork Suburbs 18/212";"55 - 59 years";47;1;41;0;1;4;38;1;32;0;2;3
"Cork Suburbs 18/212";"60 - 64 years";31;0;27;1;2;1;37;5;26;2;1;3
"Cork Suburbs 18/212";"65 - 69 years";14;1;10;1;1;1;13;2;5;2;0;4
"Cork Suburbs 18/212";"70 - 74 years";8;1;5;1;0;1;7;0;6;0;0;1
"Cork Suburbs 18/212";"75 - 79 years";6;2;3;0;0;1;8;0;3;0;0;5
"Cork Suburbs 18/212";"80 - 84 years";1;0;1;0;0;0;3;0;0;0;0;3
"Cork Suburbs 18/212";"85 years and over";0;0;0;0;0;0;2;1;0;0;0;1
"Cork Suburbs 18/213";"0 - 4 years";59;59;0;0;0;0;74;74;0;0;0;0
"Cork Suburbs 18/213";"5 - 9 years";40;40;0;0;0;0;48;48;0;0;0;0
"Cork Suburbs 18/213";"10 - 14 years";30;30;0;0;0;0;36;36;0;0;0;0
"Cork Suburbs 18/213";"15 - 19 years";21;21;0;0;0;0;21;21;0;0;0;0
"Cork Suburbs 18/213";"20 - 24 years";27;26;1;0;0;0;37;34;3;0;0;0
"Cork Suburbs 18/213";"25 - 29 years";58;48;10;0;0;0;56;38;18;0;0;0
"Cork Suburbs 18/213";"30 - 34 years";77;32;43;1;1;0;88;29;58;1;0;0
"Cork Suburbs 18/213";"35 - 39 years";74;11;62;1;0;0;66;9;57;0;0;0
"Cork Suburbs 18/213";"40 - 44 years";51;3;44;2;1;1;43;6;34;3;0;0
"Cork Suburbs 18/213";"45 - 49 years";21;2;18;1;0;0;24;3;19;1;1;0
"Cork Suburbs 18/213";"50 - 54 years";22;2;18;1;1;0;11;1;10;0;0;0
"Cork Suburbs 18/213";"55 - 59 years";13;0;10;1;1;1;18;3;14;0;0;1
"Cork Suburbs 18/213";"60 - 64 years";18;1;15;0;1;1;8;0;6;0;0;2
"Cork Suburbs 18/213";"65 - 69 years";4;0;3;1;0;0;5;0;3;0;0;2
"Cork Suburbs 18/213";"70 - 74 years";3;0;3;0;0;0;7;1;5;0;0;1
"Cork Suburbs 18/213";"75 - 79 years";1;0;0;0;0;1;4;0;1;0;0;3
"Cork Suburbs 18/213";"80 - 84 years";3;0;3;0;0;0;3;0;1;0;0;2
"Cork Suburbs 18/213";"85 years and over";1;0;0;0;0;1;3;0;0;0;0;3
"Cork Suburbs 18/214";"0 - 4 years";57;57;0;0;0;0;52;52;0;0;0;0
"Cork Suburbs 18/214";"5 - 9 years";65;65;0;0;0;0;69;69;0;0;0;0
"Cork Suburbs 18/214";"10 - 14 years";45;45;0;0;0;0;43;43;0;0;0;0
"Cork Suburbs 18/214";"15 - 19 years";43;43;0;0;0;0;34;34;0;0;0;0
"Cork Suburbs 18/214";"20 - 24 years";49;47;2;0;0;0;31;29;2;0;0;0
"Cork Suburbs 18/214";"25 - 29 years";51;47;3;1;0;0;59;49;9;0;0;1
"Cork Suburbs 18/214";"30 - 34 years";41;23;17;0;1;0;33;14;16;1;2;0
"Cork Suburbs 18/214";"35 - 39 years";55;11;40;2;2;0;72;10;60;0;2;0
"Cork Suburbs 18/214";"40 - 44 years";70;3;65;0;1;1;68;5;60;3;0;0
"Cork Suburbs 18/214";"45 - 49 years";45;2;41;2;0;0;29;2;25;0;1;1
"Cork Suburbs 18/214";"50 - 54 years";19;1;16;0;1;1;24;1;19;1;2;1
"Cork Suburbs 18/214";"55 - 59 years";14;1;13;0;0;0;15;1;10;2;2;0
"Cork Suburbs 18/214";"60 - 64 years";6;1;5;0;0;0;8;2;3;0;2;1
"Cork Suburbs 18/214";"65 - 69 years";5;0;5;0;0;0;7;1;4;0;0;2
"Cork Suburbs 18/214";"70 - 74 years";4;0;4;0;0;0;5;0;3;0;0;2
"Cork Suburbs 18/214";"75 - 79 years";1;0;1;0;0;0;4;0;1;1;0;2
"Cork Suburbs 18/214";"80 - 84 years";1;0;0;0;0;1;3;0;0;0;0;3
"Cork Suburbs 18/214";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Cork Suburbs 18/215";"0 - 4 years";78;78;0;0;0;0;67;67;0;0;0;0
"Cork Suburbs 18/215";"5 - 9 years";40;40;0;0;0;0;33;33;0;0;0;0
"Cork Suburbs 18/215";"10 - 14 years";39;39;0;0;0;0;49;49;0;0;0;0
"Cork Suburbs 18/215";"15 - 19 years";28;28;0;0;0;0;34;34;0;0;0;0
"Cork Suburbs 18/215";"20 - 24 years";66;61;4;0;0;1;55;44;9;0;2;0
"Cork Suburbs 18/215";"25 - 29 years";92;73;16;1;0;2;93;64;27;0;1;1
"Cork Suburbs 18/215";"30 - 34 years";96;51;41;2;0;2;67;27;38;1;1;0
"Cork Suburbs 18/215";"35 - 39 years";77;21;54;1;1;0;67;13;48;2;1;3
"Cork Suburbs 18/215";"40 - 44 years";56;5;48;1;2;0;46;8;29;6;2;1
"Cork Suburbs 18/215";"45 - 49 years";46;6;36;2;1;1;44;1;37;3;3;0
"Cork Suburbs 18/215";"50 - 54 years";29;3;23;2;1;0;22;2;18;1;0;1
"Cork Suburbs 18/215";"55 - 59 years";16;0;14;0;1;1;23;2;16;0;5;0
"Cork Suburbs 18/215";"60 - 64 years";19;2;15;2;0;0;12;2;9;0;0;1
"Cork Suburbs 18/215";"65 - 69 years";11;3;7;0;0;1;6;1;1;0;1;3
"Cork Suburbs 18/215";"70 - 74 years";1;0;1;0;0;0;7;1;3;0;0;3
"Cork Suburbs 18/215";"75 - 79 years";3;1;1;0;0;1;5;0;1;0;0;4
"Cork Suburbs 18/215";"80 - 84 years";4;0;2;0;0;2;2;1;0;0;0;1
"Cork Suburbs 18/215";"85 years and over";1;0;1;0;0;0;3;1;0;0;0;2
"Cork Suburbs 18/220";"0 - 4 years";55;55;0;0;0;0;47;47;0;0;0;0
"Cork Suburbs 18/220";"5 - 9 years";42;42;0;0;0;0;44;44;0;0;0;0
"Cork Suburbs 18/220";"10 - 14 years";34;34;0;0;0;0;32;32;0;0;0;0
"Cork Suburbs 18/220";"15 - 19 years";25;25;0;0;0;0;33;33;0;0;0;0
"Cork Suburbs 18/220";"20 - 24 years";51;47;4;0;0;0;49;44;4;0;1;0
"Cork Suburbs 18/220";"25 - 29 years";106;80;23;2;0;1;91;62;24;4;1;0
"Cork Suburbs 18/220";"30 - 34 years";71;36;32;1;2;0;63;27;32;1;2;1
"Cork Suburbs 18/220";"35 - 39 years";69;22;42;1;3;1;62;13;46;1;1;1
"Cork Suburbs 18/220";"40 - 44 years";48;7;40;0;1;0;38;5;28;1;2;2
"Cork Suburbs 18/220";"45 - 49 years";36;6;27;2;1;0;33;5;19;4;4;1
"Cork Suburbs 18/220";"50 - 54 years";32;3;23;2;2;2;23;3;18;1;0;1
"Cork Suburbs 18/220";"55 - 59 years";25;4;20;1;0;0;29;4;24;0;1;0
"Cork Suburbs 18/220";"60 - 64 years";20;2;18;0;0;0;22;0;17;0;0;5
"Cork Suburbs 18/220";"65 - 69 years";15;1;14;0;0;0;10;1;7;0;0;2
"Cork Suburbs 18/220";"70 - 74 years";7;0;6;1;0;0;8;1;4;0;0;3
"Cork Suburbs 18/220";"75 - 79 years";8;1;5;1;0;1;13;3;5;0;0;5
"Cork Suburbs 18/220";"80 - 84 years";4;0;3;0;0;1;11;0;1;0;0;10
"Cork Suburbs 18/220";"85 years and over";8;0;2;0;0;6;6;1;1;0;0;4
"Cork Suburbs 18/222";"0 - 4 years";43;43;0;0;0;0;25;25;0;0;0;0
"Cork Suburbs 18/222";"5 - 9 years";55;55;0;0;0;0;54;54;0;0;0;0
"Cork Suburbs 18/222";"10 - 14 years";59;59;0;0;0;0;57;57;0;0;0;0
"Cork Suburbs 18/222";"15 - 19 years";45;45;0;0;0;0;41;41;0;0;0;0
"Cork Suburbs 18/222";"20 - 24 years";45;45;0;0;0;0;42;42;0;0;0;0
"Cork Suburbs 18/222";"25 - 29 years";41;35;5;0;1;0;40;31;8;0;1;0
"Cork Suburbs 18/222";"30 - 34 years";34;21;11;2;0;0;36;17;15;1;1;2
"Cork Suburbs 18/222";"35 - 39 years";49;19;29;1;0;0;52;18;29;3;2;0
"Cork Suburbs 18/222";"40 - 44 years";39;6;31;1;1;0;41;3;33;2;3;0
"Cork Suburbs 18/222";"45 - 49 years";33;1;29;1;2;0;39;1;34;2;1;1
"Cork Suburbs 18/222";"50 - 54 years";42;4;33;1;1;3;45;1;37;3;1;3
"Cork Suburbs 18/222";"55 - 59 years";38;3;34;1;0;0;38;3;33;2;0;0
"Cork Suburbs 18/222";"60 - 64 years";29;3;25;1;0;0;28;0;20;0;2;6
"Cork Suburbs 18/222";"65 - 69 years";11;0;11;0;0;0;16;0;15;0;0;1
"Cork Suburbs 18/222";"70 - 74 years";20;2;17;0;0;1;11;0;5;0;0;6
"Cork Suburbs 18/222";"75 - 79 years";7;1;6;0;0;0;6;0;5;0;0;1
"Cork Suburbs 18/222";"80 - 84 years";5;0;3;0;0;2;3;1;2;0;0;0
"Cork Suburbs 18/222";"85 years and over";4;1;2;0;0;1;3;0;1;0;0;2
"Cork Suburbs 18/223";"0 - 4 years";80;80;0;0;0;0;48;48;0;0;0;0
"Cork Suburbs 18/223";"5 - 9 years";78;78;0;0;0;0;71;71;0;0;0;0
"Cork Suburbs 18/223";"10 - 14 years";45;45;0;0;0;0;41;41;0;0;0;0
"Cork Suburbs 18/223";"15 - 19 years";58;57;1;0;0;0;46;46;0;0;0;0
"Cork Suburbs 18/223";"20 - 24 years";42;37;5;0;0;0;41;39;2;0;0;0
"Cork Suburbs 18/223";"25 - 29 years";55;35;19;0;1;0;59;35;24;0;0;0
"Cork Suburbs 18/223";"30 - 34 years";79;29;49;0;1;0;85;23;59;1;1;1
"Cork Suburbs 18/223";"35 - 39 years";78;5;68;3;2;0;71;8;57;4;2;0
"Cork Suburbs 18/223";"40 - 44 years";50;4;43;0;3;0;64;7;49;2;3;3
"Cork Suburbs 18/223";"45 - 49 years";45;3;37;3;1;1;41;2;35;1;3;0
"Cork Suburbs 18/223";"50 - 54 years";27;1;23;2;1;0;34;5;23;4;1;1
"Cork Suburbs 18/223";"55 - 59 years";25;0;22;2;0;1;21;3;15;0;2;1
"Cork Suburbs 18/223";"60 - 64 years";16;1;12;1;2;0;20;1;10;5;2;2
"Cork Suburbs 18/223";"65 - 69 years";5;0;2;3;0;0;9;0;4;1;0;4
"Cork Suburbs 18/223";"70 - 74 years";4;1;3;0;0;0;3;0;1;0;0;2
"Cork Suburbs 18/223";"75 - 79 years";2;0;1;0;0;1;3;1;0;0;0;2
"Cork Suburbs 18/223";"80 - 84 years";0;0;0;0;0;0;1;0;0;0;0;1
"Cork Suburbs 18/223";"85 years and over";0;0;0;0;0;0;2;0;0;0;0;2
"Cork Suburbs 18/225";"0 - 4 years";24;24;0;0;0;0;27;27;0;0;0;0
"Cork Suburbs 18/225";"5 - 9 years";24;24;0;0;0;0;21;21;0;0;0;0
"Cork Suburbs 18/225";"10 - 14 years";15;15;0;0;0;0;23;23;0;0;0;0
"Cork Suburbs 18/225";"15 - 19 years";27;27;0;0;0;0;34;34;0;0;0;0
"Cork Suburbs 18/225";"20 - 24 years";31;30;1;0;0;0;18;18;0;0;0;0
"Cork Suburbs 18/225";"25 - 29 years";52;43;8;0;0;1;53;39;14;0;0;0
"Cork Suburbs 18/225";"30 - 34 years";59;24;34;1;0;0;48;21;25;2;0;0
"Cork Suburbs 18/225";"35 - 39 years";22;12;9;0;1;0;27;7;18;0;1;1
"Cork Suburbs 18/225";"40 - 44 years";36;13;21;1;1;0;30;7;19;3;1;0
"Cork Suburbs 18/225";"45 - 49 years";24;2;20;1;0;1;29;5;23;1;0;0
"Cork Suburbs 18/225";"50 - 54 years";28;3;23;2;0;0;24;4;18;1;0;1
"Cork Suburbs 18/225";"55 - 59 years";28;2;23;1;1;1;31;3;26;1;0;1
"Cork Suburbs 18/225";"60 - 64 years";31;5;25;0;0;1;26;2;19;1;1;3
"Cork Suburbs 18/225";"65 - 69 years";20;1;18;1;0;0;24;2;17;0;0;5
"Cork Suburbs 18/225";"70 - 74 years";8;0;8;0;0;0;17;3;8;0;0;6
"Cork Suburbs 18/225";"75 - 79 years";9;2;7;0;0;0;4;0;1;0;0;3
"Cork Suburbs 18/225";"80 - 84 years";2;0;1;0;0;1;5;1;0;0;0;4
"Cork Suburbs 18/225";"85 years and over";1;0;0;0;0;1;6;1;0;0;0;5
"Cork Suburbs 18/226";"0 - 4 years";59;59;0;0;0;0;68;68;0;0;0;0
"Cork Suburbs 18/226";"5 - 9 years";49;49;0;0;0;0;56;56;0;0;0;0
"Cork Suburbs 18/226";"10 - 14 years";55;55;0;0;0;0;55;55;0;0;0;0
"Cork Suburbs 18/226";"15 - 19 years";53;53;0;0;0;0;42;42;0;0;0;0
"Cork Suburbs 18/226";"20 - 24 years";50;50;0;0;0;0;33;30;3;0;0;0
"Cork Suburbs 18/226";"25 - 29 years";30;26;3;1;0;0;33;23;9;1;0;0
"Cork Suburbs 18/226";"30 - 34 years";59;15;40;4;0;0;63;17;44;2;0;0
"Cork Suburbs 18/226";"35 - 39 years";63;11;50;2;0;0;56;7;45;4;0;0
"Cork Suburbs 18/226";"40 - 44 years";67;4;56;6;1;0;58;4;51;3;0;0
"Cork Suburbs 18/226";"45 - 49 years";31;4;25;0;1;1;41;1;36;4;0;0
"Cork Suburbs 18/226";"50 - 54 years";26;1;24;0;0;1;28;0;24;2;0;2
"Cork Suburbs 18/226";"55 - 59 years";20;1;18;0;1;0;18;0;16;0;1;1
"Cork Suburbs 18/226";"60 - 64 years";20;0;19;0;0;1;13;0;12;0;0;1
"Cork Suburbs 18/226";"65 - 69 years";11;0;9;1;0;1;10;1;8;0;0;1
"Cork Suburbs 18/226";"70 - 74 years";7;1;5;1;0;0;12;1;6;0;0;5
"Cork Suburbs 18/226";"75 - 79 years";3;0;1;1;0;1;5;0;2;0;0;3
"Cork Suburbs 18/226";"80 - 84 years";1;0;1;0;0;0;1;0;0;0;0;1
"Cork Suburbs 18/226";"85 years and over";1;0;1;0;0;0;2;0;1;0;0;1
"Cork Suburbs 18/227";"0 - 4 years";51;51;0;0;0;0;55;55;0;0;0;0
"Cork Suburbs 18/227";"5 - 9 years";71;71;0;0;0;0;56;56;0;0;0;0
"Cork Suburbs 18/227";"10 - 14 years";51;51;0;0;0;0;61;61;0;0;0;0
"Cork Suburbs 18/227";"15 - 19 years";54;53;1;0;0;0;56;56;0;0;0;0
"Cork Suburbs 18/227";"20 - 24 years";40;40;0;0;0;0;53;52;1;0;0;0
"Cork Suburbs 18/227";"25 - 29 years";40;36;4;0;0;0;51;39;11;1;0;0
"Cork Suburbs 18/227";"30 - 34 years";54;27;27;0;0;0;59;27;29;2;1;0
"Cork Suburbs 18/227";"35 - 39 years";55;18;34;1;2;0;50;12;38;0;0;0
"Cork Suburbs 18/227";"40 - 44 years";47;10;36;1;0;0;41;10;24;5;1;1
"Cork Suburbs 18/227";"45 - 49 years";24;3;16;1;2;2;33;4;20;3;3;3
"Cork Suburbs 18/227";"50 - 54 years";23;3;18;1;0;1;36;1;20;5;3;7
"Cork Suburbs 18/227";"55 - 59 years";28;0;22;5;0;1;30;0;23;4;0;3
"Cork Suburbs 18/227";"60 - 64 years";37;3;30;3;0;1;37;0;31;1;2;3
"Cork Suburbs 18/227";"65 - 69 years";20;0;17;2;1;0;18;0;15;0;1;2
"Cork Suburbs 18/227";"70 - 74 years";8;1;6;0;0;1;7;0;3;0;0;4
"Cork Suburbs 18/227";"75 - 79 years";3;0;3;0;0;0;1;0;1;0;0;0
"Cork Suburbs 18/227";"80 - 84 years";1;0;1;0;0;0;3;0;1;0;0;2
"Cork Suburbs 18/227";"85 years and over";2;0;0;0;0;2;1;0;0;0;0;1
"Cork Suburbs 18/228";"0 - 4 years";59;59;0;0;0;0;74;74;0;0;0;0
"Cork Suburbs 18/228";"5 - 9 years";39;39;0;0;0;0;42;42;0;0;0;0
"Cork Suburbs 18/228";"10 - 14 years";29;29;0;0;0;0;26;26;0;0;0;0
"Cork Suburbs 18/228";"15 - 19 years";40;40;0;0;0;0;45;45;0;0;0;0
"Cork Suburbs 18/228";"20 - 24 years";43;41;2;0;0;0;53;51;2;0;0;0
"Cork Suburbs 18/228";"25 - 29 years";48;42;6;0;0;0;53;41;11;1;0;0
"Cork Suburbs 18/228";"30 - 34 years";69;23;46;0;0;0;61;11;49;1;0;0
"Cork Suburbs 18/228";"35 - 39 years";58;15;41;2;0;0;56;12;43;1;0;0
"Cork Suburbs 18/228";"40 - 44 years";30;5;23;1;1;0;38;2;32;2;2;0
"Cork Suburbs 18/228";"45 - 49 years";36;1;31;0;2;2;35;5;26;3;1;0
"Cork Suburbs 18/228";"50 - 54 years";38;1;36;0;1;0;46;2;38;1;3;2
"Cork Suburbs 18/228";"55 - 59 years";29;1;25;1;0;2;28;0;24;3;0;1
"Cork Suburbs 18/228";"60 - 64 years";16;1;12;0;1;2;19;0;11;2;1;5
"Cork Suburbs 18/228";"65 - 69 years";17;1;16;0;0;0;13;0;9;0;0;4
"Cork Suburbs 18/228";"70 - 74 years";6;0;6;0;0;0;4;0;2;0;0;2
"Cork Suburbs 18/228";"75 - 79 years";5;1;1;0;0;3;4;0;2;0;0;2
"Cork Suburbs 18/228";"80 - 84 years";4;2;2;0;0;0;5;0;1;0;0;4
"Cork Suburbs 18/228";"85 years and over";0;0;0;0;0;0;2;1;0;0;0;1
"Cork Suburbs 18/229";"0 - 4 years";53;53;0;0;0;0;60;60;0;0;0;0
"Cork Suburbs 18/229";"5 - 9 years";61;61;0;0;0;0;58;58;0;0;0;0
"Cork Suburbs 18/229";"10 - 14 years";59;59;0;0;0;0;42;42;0;0;0;0
"Cork Suburbs 18/229";"15 - 19 years";42;42;0;0;0;0;29;29;0;0;0;0
"Cork Suburbs 18/229";"20 - 24 years";29;27;2;0;0;0;47;46;1;0;0;0
"Cork Suburbs 18/229";"25 - 29 years";55;42;13;0;0;0;86;64;20;2;0;0
"Cork Suburbs 18/229";"30 - 34 years";48;28;18;2;0;0;63;34;27;2;0;0
"Cork Suburbs 18/229";"35 - 39 years";48;10;35;1;2;0;44;11;26;6;1;0
"Cork Suburbs 18/229";"40 - 44 years";40;8;28;0;4;0;46;8;30;6;1;1
"Cork Suburbs 18/229";"45 - 49 years";28;1;25;1;1;0;26;1;21;3;1;0
"Cork Suburbs 18/229";"50 - 54 years";19;4;13;1;0;1;19;0;17;1;0;1
"Cork Suburbs 18/229";"55 - 59 years";18;3;12;2;0;1;14;2;12;0;0;0
"Cork Suburbs 18/229";"60 - 64 years";14;3;9;1;0;1;16;0;11;0;2;3
"Cork Suburbs 18/229";"65 - 69 years";14;1;11;1;0;1;13;0;12;0;0;1
"Cork Suburbs 18/229";"70 - 74 years";9;1;6;1;0;1;7;1;3;0;0;3
"Cork Suburbs 18/229";"75 - 79 years";4;1;2;0;0;1;4;1;1;0;0;2
"Cork Suburbs 18/229";"80 - 84 years";2;0;1;0;0;1;5;1;0;0;0;4
"Cork Suburbs 18/229";"85 years and over";2;0;0;0;0;2;1;0;0;0;0;1
"Cork Suburbs 18/230";"0 - 4 years";37;37;0;0;0;0;34;34;0;0;0;0
"Cork Suburbs 18/230";"5 - 9 years";37;37;0;0;0;0;33;33;0;0;0;0
"Cork Suburbs 18/230";"10 - 14 years";36;36;0;0;0;0;44;44;0;0;0;0
"Cork Suburbs 18/230";"15 - 19 years";52;52;0;0;0;0;62;62;0;0;0;0
"Cork Suburbs 18/230";"20 - 24 years";51;51;0;0;0;0;52;51;1;0;0;0
"Cork Suburbs 18/230";"25 - 29 years";30;29;1;0;0;0;36;30;6;0;0;0
"Cork Suburbs 18/230";"30 - 34 years";36;17;19;0;0;0;30;14;16;0;0;0
"Cork Suburbs 18/230";"35 - 39 years";36;12;24;0;0;0;38;5;31;2;0;0
"Cork Suburbs 18/230";"40 - 44 years";26;2;24;0;0;0;32;2;29;1;0;0
"Cork Suburbs 18/230";"45 - 49 years";54;3;49;1;1;0;64;3;51;5;4;1
"Cork Suburbs 18/230";"50 - 54 years";39;1;33;4;0;1;37;2;30;1;1;3
"Cork Suburbs 18/230";"55 - 59 years";52;2;49;0;0;1;47;1;40;3;0;3
"Cork Suburbs 18/230";"60 - 64 years";35;1;31;0;2;1;35;0;30;1;0;4
"Cork Suburbs 18/230";"65 - 69 years";25;3;21;0;0;1;31;1;24;0;0;6
"Cork Suburbs 18/230";"70 - 74 years";18;2;15;0;0;1;18;2;10;2;0;4
"Cork Suburbs 18/230";"75 - 79 years";12;2;9;0;0;1;15;1;4;0;0;10
"Cork Suburbs 18/230";"80 - 84 years";12;1;6;0;0;5;20;1;7;0;0;12
"Cork Suburbs 18/230";"85 years and over";14;2;8;0;0;4;32;13;1;0;0;18
"Cork Suburbs 18/296";"0 - 4 years";45;45;0;0;0;0;29;29;0;0;0;0
"Cork Suburbs 18/296";"5 - 9 years";43;43;0;0;0;0;28;28;0;0;0;0
"Cork Suburbs 18/296";"10 - 14 years";44;44;0;0;0;0;44;44;0;0;0;0
"Cork Suburbs 18/296";"15 - 19 years";39;39;0;0;0;0;47;47;0;0;0;0
"Cork Suburbs 18/296";"20 - 24 years";49;49;0;0;0;0;46;43;3;0;0;0
"Cork Suburbs 18/296";"25 - 29 years";39;34;5;0;0;0;34;29;4;1;0;0
"Cork Suburbs 18/296";"30 - 34 years";29;18;11;0;0;0;31;13;17;1;0;0
"Cork Suburbs 18/296";"35 - 39 years";35;7;24;3;0;1;45;13;27;4;1;0
"Cork Suburbs 18/296";"40 - 44 years";31;2;25;2;2;0;29;2;25;2;0;0
"Cork Suburbs 18/296";"45 - 49 years";35;1;33;0;1;0;51;7;36;6;0;2
"Cork Suburbs 18/296";"50 - 54 years";41;4;34;3;0;0;44;3;36;3;0;2
"Cork Suburbs 18/296";"55 - 59 years";27;2;25;0;0;0;30;5;20;1;1;3
"Cork Suburbs 18/296";"60 - 64 years";28;1;26;1;0;0;35;2;23;2;1;7
"Cork Suburbs 18/296";"65 - 69 years";14;1;10;0;0;3;9;0;6;0;0;3
"Cork Suburbs 18/296";"70 - 74 years";10;1;6;1;0;2;15;3;9;0;0;3
"Cork Suburbs 18/296";"75 - 79 years";5;0;4;0;0;1;5;2;1;0;0;2
"Cork Suburbs 18/296";"80 - 84 years";0;0;0;0;0;0;5;2;0;0;0;3
"Cork Suburbs 18/296";"85 years and over";2;1;1;0;0;0;1;0;0;0;0;1
"Cork Suburbs 18/297";"0 - 4 years";55;55;0;0;0;0;68;68;0;0;0;0
"Cork Suburbs 18/297";"5 - 9 years";40;40;0;0;0;0;54;54;0;0;0;0
"Cork Suburbs 18/297";"10 - 14 years";37;37;0;0;0;0;36;36;0;0;0;0
"Cork Suburbs 18/297";"15 - 19 years";21;21;0;0;0;0;23;23;0;0;0;0
"Cork Suburbs 18/297";"20 - 24 years";31;31;0;0;0;0;42;39;2;1;0;0
"Cork Suburbs 18/297";"25 - 29 years";70;56;14;0;0;0;98;72;24;0;1;1
"Cork Suburbs 18/297";"30 - 34 years";76;34;41;0;1;0;79;24;53;1;1;0
"Cork Suburbs 18/297";"35 - 39 years";62;17;43;2;0;0;45;9;33;1;2;0
"Cork Suburbs 18/297";"40 - 44 years";44;2;38;2;1;1;48;8;34;4;0;2
"Cork Suburbs 18/297";"45 - 49 years";32;1;29;2;0;0;34;4;26;1;2;1
"Cork Suburbs 18/297";"50 - 54 years";23;3;17;3;0;0;23;3;17;2;0;1
"Cork Suburbs 18/297";"55 - 59 years";15;1;10;3;1;0;6;0;5;1;0;0
"Cork Suburbs 18/297";"60 - 64 years";4;0;4;0;0;0;5;1;4;0;0;0
"Cork Suburbs 18/297";"65 - 69 years";8;0;7;1;0;0;5;0;5;0;0;0
"Cork Suburbs 18/297";"70 - 74 years";2;0;2;0;0;0;5;0;2;0;0;3
"Cork Suburbs 18/297";"75 - 79 years";3;0;3;0;0;0;4;1;2;0;0;1
"Cork Suburbs 18/297";"80 - 84 years";2;0;1;0;0;1;3;0;0;0;0;3
"Cork Suburbs 18/297";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Cork Suburbs 18/298";"0 - 4 years";42;42;0;0;0;0;27;27;0;0;0;0
"Cork Suburbs 18/298";"5 - 9 years";33;33;0;0;0;0;24;24;0;0;0;0
"Cork Suburbs 18/298";"10 - 14 years";27;27;0;0;0;0;32;32;0;0;0;0
"Cork Suburbs 18/298";"15 - 19 years";30;30;0;0;0;0;38;37;0;1;0;0
"Cork Suburbs 18/298";"20 - 24 years";35;35;0;0;0;0;46;46;0;0;0;0
"Cork Suburbs 18/298";"25 - 29 years";49;39;10;0;0;0;56;40;16;0;0;0
"Cork Suburbs 18/298";"30 - 34 years";38;26;12;0;0;0;39;20;19;0;0;0
"Cork Suburbs 18/298";"35 - 39 years";41;18;22;0;1;0;30;8;19;1;2;0
"Cork Suburbs 18/298";"40 - 44 years";41;9;27;2;3;0;47;12;30;4;1;0
"Cork Suburbs 18/298";"45 - 49 years";37;7;25;3;1;1;33;4;24;2;2;1
"Cork Suburbs 18/298";"50 - 54 years";20;1;18;0;0;1;31;4;20;3;2;2
"Cork Suburbs 18/298";"55 - 59 years";36;4;25;2;3;2;38;5;28;4;0;1
"Cork Suburbs 18/298";"60 - 64 years";19;1;16;2;0;0;17;2;14;1;0;0
"Cork Suburbs 18/298";"65 - 69 years";6;0;6;0;0;0;14;0;9;1;0;4
"Cork Suburbs 18/298";"70 - 74 years";14;1;12;0;0;1;13;2;8;0;0;3
"Cork Suburbs 18/298";"75 - 79 years";13;0;9;0;0;4;15;1;2;0;0;12
"Cork Suburbs 18/298";"80 - 84 years";3;0;2;0;0;1;9;0;2;0;0;7
"Cork Suburbs 18/298";"85 years and over";2;1;0;0;0;1;8;1;2;0;0;5
"Cork Suburbs 18/299";"0 - 4 years";70;70;0;0;0;0;64;64;0;0;0;0
"Cork Suburbs 18/299";"5 - 9 years";69;69;0;0;0;0;58;58;0;0;0;0
"Cork Suburbs 18/299";"10 - 14 years";53;53;0;0;0;0;54;54;0;0;0;0
"Cork Suburbs 18/299";"15 - 19 years";48;48;0;0;0;0;49;49;0;0;0;0
"Cork Suburbs 18/299";"20 - 24 years";26;26;0;0;0;0;25;25;0;0;0;0
"Cork Suburbs 18/299";"25 - 29 years";32;30;2;0;0;0;29;28;1;0;0;0
"Cork Suburbs 18/299";"30 - 34 years";35;17;17;0;1;0;40;11;29;0;0;0
"Cork Suburbs 18/299";"35 - 39 years";71;9;60;2;0;0;70;10;57;1;2;0
"Cork Suburbs 18/299";"40 - 44 years";62;5;54;2;1;0;68;3;62;2;1;0
"Cork Suburbs 18/299";"45 - 49 years";54;2;45;4;3;0;46;1;42;1;0;2
