"Theme 2 - 5 : Number of persons by religion, 2006";;;;;
"Religion";"Catholic";"Other stated religion";"No religion";"Not stated";"Total"
"Dœn Laoghaire-Rathdown 05/190";905;130;84;10;1129
"Dœn Laoghaire-Rathdown 05/191";1025;179;50;14;1268
"Dœn Laoghaire-Rathdown 05/192";733;84;63;2;882
"Dœn Laoghaire-Rathdown 05/193";526;98;40;1;665
"Dœn Laoghaire-Rathdown 05/194";751;112;52;5;920
"Dœn Laoghaire-Rathdown 05/196";342;52;39;4;437
"Dœn Laoghaire-Rathdown 05/197";378;116;78;5;577
"Dœn Laoghaire-Rathdown 05/198";825;111;89;14;1039
"Dœn Laoghaire-Rathdown 05/200";349;61;39;5;454
"Dœn Laoghaire-Rathdown 05/201";573;119;56;9;757
"Dœn Laoghaire-Rathdown 05/202";473;97;70;9;649
"Dœn Laoghaire-Rathdown 05/203";559;115;42;4;720
"Dœn Laoghaire-Rathdown 05/204";835;112;56;27;1030
