"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"099 Lackan";306;4;2;0;3;3;1;319
"100 Lismaha";332;6;0;0;0;2;2;342
"101 Lissonuffy";171;2;0;0;0;0;1;174
"102 Mote";686;38;3;0;2;13;1;743
"103 Ogulla";209;9;0;0;0;1;7;226
"104 Roosky";478;14;45;24;3;13;2;579
"105 Roscommon Rural";3496;153;124;47;92;180;41;4133
"106 Roscommon Urban";1194;39;114;17;53;221;14;1652
"107 Rosmoylan";147;8;0;0;0;1;0;156
"108 Rossmore";147;3;0;0;0;0;0;150
"109 Scregg";376;12;2;3;0;1;3;397
"110 Strokestown";877;32;8;19;3;27;8;974
"111 Termonbarry";453;29;0;1;3;13;2;501
"112 Tulsk";250;11;0;0;3;0;4;268
"Sligo County";54366;2119;769;184;733;1110;577;59858
"001 Sligo East";4554;93;151;29;97;211;57;5192
"002 Sligo North";4229;137;188;23;128;272;211;5188
"003 Sligo West";6143;179;249;46;144;208;56;7025
"004 Aghanagh";279;13;0;8;8;3;2;313
"005 Ballynashee";241;18;0;0;6;2;1;268
"006 Coolavin";388;46;0;0;5;3;0;442
"007 Cuilmore";435;31;2;10;3;5;4;490
"008 Drumrat";401;33;0;0;1;0;5;440
"009 Kilfree";405;45;12;0;1;4;2;469
"010 Killadoon";278;5;3;0;0;4;0;290
"011 Killaraght";352;21;2;0;4;1;2;382
"012 Kilmactranny";311;19;0;0;3;0;0;333
"013 Kilshalvy";267;19;0;0;3;1;1;291
"014 Shancough";126;4;0;0;4;0;5;139
"015 Templevanny";218;15;0;0;3;0;4;240
"016 Toomour";209;27;0;0;3;0;0;239
"017 Aughris";164;2;0;0;2;2;2;172
"018 Buncrowey";307;5;0;0;3;2;11;328
"019 Castleconor East";223;4;0;0;0;0;3;230
"020 Castleconor West";819;19;24;0;9;7;1;879
"021 Dromard East";156;2;0;0;0;1;0;159
"022 Dromard West";169;7;0;0;0;0;2;178
"023 Dromore";401;30;0;0;2;3;4;440
"024 Easky East";531;36;3;0;5;3;2;580
"025 Easky West";641;24;2;1;0;9;2;679
"026 Kilglass";1210;66;10;0;5;21;8;1320
"028 Rathmacurkey";523;20;0;0;1;1;7;552
"029 Skreen";146;12;0;0;0;3;0;161
"030 Templeboy North";275;6;0;0;1;0;0;282
"031/027 Templeboy South/Mullagheruse";215;13;0;0;3;0;1;232
"032 Toberpatrick East";241;11;0;0;0;4;1;257
"033 Toberpatrick West";279;6;0;0;0;5;2;292
"034 Ballintogher East";502;18;0;0;4;9;6;539
"035 Ballintogher West";397;12;0;0;3;0;4;416
"036 Ballymote";1569;63;18;4;21;14;17;1706
"037 Ballynakill";335;23;0;0;4;0;7;369
"038 Ballysadare East";1130;21;22;0;11;15;5;1204
"039 Ballysadare West";324;2;3;0;1;0;0;330
"040 Bricklieve";220;12;0;0;1;1;0;234
"041 Calry";1718;37;3;0;6;26;9;1799
"042 Carney";661;14;0;0;1;3;0;679
"043 Carrickbanagher";565;20;2;0;2;2;4;595
"044 Cliffony North";820;36;2;0;13;12;5;888
"045 Cliffony South";561;22;0;0;8;8;0;599
"046 Collooney";1555;59;29;10;21;42;20;1736
"047 Drumcliff East";741;11;0;0;7;4;4;767
"048 Drumcliff West";1726;56;2;0;7;23;10;1824
"049 Drumcolumb";271;16;0;0;4;0;2;293
"050 Drumfin";319;10;0;0;5;1;0;335
"051 Glencar";203;4;0;0;4;4;0;215
"052 Kilmacowen";1938;60;0;0;8;11;10;2027
"053 Knockaree";2924;120;10;9;56;53;12;3184
"054 Lakeview";353;13;2;0;12;6;1;387
"055 Lisconny";375;17;0;0;3;2;2;399
"056 Lissadill East";595;31;0;0;5;3;0;634
"057 Lissadill North";1046;29;7;0;14;14;10;1120
"058 Lissadill West";429;20;0;1;11;7;2;470
"059 Riverstown";577;28;9;0;2;6;5;627
"060 Rossinver East";158;0;0;0;3;0;3;164
"061 Rossinver West";225;0;2;0;0;5;0;232
"062 Achonry East";477;36;0;0;1;4;1;519
"063 Achonry West";622;31;2;0;4;7;3;669
"064 Aclare";278;17;0;0;1;2;0;298
"065 Annagh";162;12;0;0;1;7;0;182
"066 Banada";524;39;1;1;5;3;4;577
"067/069 Branchfield/Carrownaskeagh";135;1;0;3;2;4;0;145
"068 Breencorragh";120;2;0;0;0;2;1;125
"070 Cartron";166;11;0;0;0;1;0;178
"072 Cloonoghill";296;9;0;0;0;0;1;306
"073 Coolaney";501;32;1;4;2;3;0;543
"074 Glendarragh";129;20;0;0;2;6;3;160
"075 Kilmacteige";219;7;0;0;4;3;1;234
"076 Kilturra";221;15;0;0;0;0;2;238
"077 Leitrim";294;21;0;3;7;2;1;328
"078/071 Loughill/Cloonacool";297;15;0;6;2;2;2;324
"079 Owenmore";87;10;0;0;6;0;0;103
"080 Streamstown";289;5;0;0;0;1;1;296
"081 Temple";210;10;0;0;0;2;2;224
"082 Tobercurry";1966;104;8;26;15;15;21;2155
"Ulster (part of)";239825;9474;2199;2641;2579;4534;2059;263311
"Cavan County";56906;1884;810;776;858;1356;674;63264
"001 Cavan Urban";3043;78;130;187;162;220;53;3873
"002 Bailieborough";2974;79;22;29;9;24;40;3177
"003 Carnagarve";558;14;2;0;1;5;1;581
"004 Crossbane";457;16;0;2;3;4;6;488
"005 Drumanespick";401;11;1;0;2;4;0;419
"006 Enniskeen";367;13;0;0;1;4;5;390
"007 Killinkere";350;12;0;0;1;1;2;366
"008 Kingscourt";2143;72;142;33;31;45;47;2513
"009 Lisagoan";316;7;0;0;0;1;3;327
"010 Mullagh";1254;63;18;6;19;19;7;1386
"011 Shercock";903;22;9;20;6;53;9;1022
"012 Skeagh";380;4;0;0;0;1;8;393
"013 Taghart";526;18;2;5;0;0;6;557
"014 Termon";442;15;0;0;0;6;7;470
"015 Ballyconnell";964;42;74;33;53;23;15;1204
"016 Ballymagauran";241;5;0;0;3;2;0;251
"017 Bawnboy";506;22;0;0;3;4;2;537
"019 Bilberry";132;12;0;0;1;0;0;145
"020 Carn";209;13;0;0;0;0;2;224
"021 Diamond";96;12;0;0;1;0;0;109
"022 Doogary";140;8;0;0;0;0;0;148
"023 Kinawley";106;8;0;1;0;1;0;116
"024 Lissanover";261;9;0;0;0;0;1;271
"025/028 Pedara Vohers/Tircahan";178;9;0;0;0;0;0;187
"026 Swanlinbar";373;16;0;22;10;11;2;434
"027/018 Templeport/Benbrack";346;24;0;0;3;4;4;381
"029 Ballyjamesduff";1727;44;143;27;50;171;25;2187
"030 Castlerahan";766;51;0;9;8;29;4;867
"031 Kilbride";819;32;0;3;8;13;6;881
"032 Lurgan";507;10;0;0;0;4;2;523
"033 Munterconnaught";819;64;0;0;3;13;66;965
"034 Virginia";2770;141;25;49;41;89;37;3152
"035 Ardue";516;38;15;8;6;14;4;601
"036 Arvagh";809;36;1;17;17;3;4;887
"037 Ashfield";314;9;0;2;2;5;2;334
"038 Ballintemple";444;6;0;0;4;5;0;459
"039 Ballyhaise";922;20;1;6;2;19;9;979
"040 Ballymachugh";635;9;2;6;7;18;21;698
"041 Bellananagh";1138;30;16;5;19;16;3;1227
"042 Belturbet Urban";1199;62;10;17;38;40;7;1373
"043 Bruce Hall";201;9;0;0;0;0;2;212
"044 Butler's Bridge";347;4;0;5;5;4;6;371
"045 Canningstown";542;6;0;0;2;0;3;553
"046 Carrafin";340;8;0;0;6;4;3;361
"047 Castlesaunderson";212;4;0;0;1;2;2;221
"048 Cavan Rural";4054;102;106;89;112;267;67;4797
"049 Clonervy";755;18;2;2;2;5;6;790
"050 Cootehill Rural";1046;17;8;57;11;26;5;1170
"051 Cootehill Urban";1101;29;11;41;16;8;25;1231
"052 Corr";241;11;0;0;0;1;2;255
"053 Corraneary";378;12;0;5;1;1;5;402
"054 Crossdoney";510;13;1;0;5;4;0;533
"055 Crosskeys";619;9;0;0;0;10;2;640
"056 Cuttragh";328;4;0;0;3;3;4;342
"057 Denn";620;19;16;1;3;19;5;683
"058 Derrin";368;8;0;0;1;3;2;382
"059 Drumcarban";516;16;0;0;5;5;4;546
"060 Drumcarn";504;7;0;0;0;1;8;520
"061 Drung";520;9;0;0;7;0;7;543
"062 Graddum";444;19;0;0;0;6;3;472
"063 Grilly";354;20;0;4;11;5;0;394
"064 Kilconny";340;20;7;0;4;1;0;372
"065 Kill";342;5;0;0;1;3;0;351
"066 Killashandra";998;50;7;5;14;11;3;1088
"067 Killykeen";501;15;0;0;7;2;7;532
"068 Kilnaleck";773;40;11;27;57;32;11;951
"069 Knappagh";406;6;0;2;2;1;2;419
"070 Larah North";422;7;0;4;3;1;4;441
"071 Larah South";459;6;0;4;0;0;4;473
"072 Milltown";304;16;0;1;6;1;2;330
"073 Moynehall";1352;41;13;28;33;19;9;1495
"074 Rakenny";391;14;0;0;1;2;3;411
"075 Redhill";389;21;0;0;0;2;4;416
"076 Springfield";167;6;0;0;1;0;1;175
"077 Stradone";677;15;3;3;5;5;14;722
"078 Tullyvin East";352;8;4;4;3;2;2;375
"079 Tullyvin West";219;6;0;0;0;2;1;228
"080 Waterloo";649;10;2;2;3;3;12;681
"081 Derrylahan";117;1;0;0;0;2;0;120
"083 Dowra";125;1;0;0;0;1;2;129
"084/082 Dunmakeever/Derrynananta";163;2;0;0;0;0;3;168
"085 Eskey";254;14;2;2;4;1;0;277
"086/087 Kinninagh/Teebane";134;18;0;3;3;0;0;158
"088 Tuam";324;13;0;0;1;3;4;345
"089 Drumlumman";502;8;0;0;0;4;1;515
"090 Kilcogy";356;4;0;0;0;3;2;365
"091 Kilgolagh";294;10;0;0;4;4;7;319
"092 Loughdawan";310;7;4;0;0;2;1;324
"093 Scrabby";535;20;0;0;1;4;4;564
"Donegal County";133181;6469;709;215;903;2293;915;144685
"001 Buncrana Urban";2982;149;42;20;63;53;22;3331
"002 Bundoran Urban";1339;66;48;5;23;53;34;1568
"003 Letterkenny Urban";1474;64;93;0;31;137;33;1832
"004 Ballintra";640;33;0;0;1;3;4;681
"005 Ballyshannon Rural";1456;57;0;0;2;13;14;1542
"006 Ballyshannon Urban";1798;64;35;8;8;33;26;1972
"007 Bundoran Rural";807;30;6;1;4;11;7;866
"008 Carrickboy";424;13;0;0;0;0;4;441
"009 Cavangarden";307;16;0;0;2;0;0;325
"010 Cliff";200;10;0;0;0;0;0;210
"011 Ballintra";524;24;0;0;10;3;1;562
"012 An Bhinn Bhán";158;8;0;0;1;0;2;169
"013 Bonnyglen";328;15;0;0;1;1;2;347
"014 Clogher";687;43;0;0;0;7;11;748
"015 Corkermore";259;14;0;0;2;1;2;278
"016 Donegal";3277;138;57;18;25;95;25;3635
"017 Dunkineely";794;40;1;0;11;12;2;860
"018 Eanymore";473;28;0;0;7;3;5;516
"019 Grousehall";73;3;0;0;0;2;0;78
"020 Haugh";224;4;0;0;0;3;2;233
"021 Inver";695;26;0;0;8;2;10;741
"022 Laghy";655;23;1;0;6;6;3;694
"023 Loch Iascaigh";96;5;0;0;3;13;0;117
"024 Pettigoe";394;12;0;0;6;3;4;419
"025 Tantallon";1382;84;15;0;13;25;11;1530
"026 Tawnawully";229;19;0;0;3;4;0;255
"027 Templecarn";118;1;0;0;1;0;0;120
"028 Tullynaught";466;23;0;0;1;4;1;495
"029 Ards";595;41;0;0;4;10;1;651
"030 Críoch na Sméar";239;25;0;0;0;1;1;266
"031 An Craoslach";613;49;0;0;0;15;3;680
"032 Na Croisbhealaí";1953;161;7;0;7;14;11;2153
"033 Caisleán na dTuath";202;13;0;0;0;1;0;216
"034 Dún Fionnachaidh";750;51;0;0;6;4;8;819
"035 Dún Lúiche";652;32;0;0;4;2;2;692
"036 Gort an Choirce";1484;78;1;0;0;9;3;1575
"037 Machaire Chlochair";2335;195;6;4;20;26;23;2609
"038 Mín an Chladaigh";1228;79;0;0;1;6;4;1318
"039 Anagaire";1968;209;0;0;8;16;11;2212
"040 Árainn Mhór";480;24;0;0;3;16;0;523
"041 Ard an Rátha";969;53;0;0;8;5;0;1035
"042 Cró Bheithe";146;14;0;0;0;0;1;161
"043 Cró Chaorach";119;2;0;0;0;0;0;121
"044 Crownarad";324;7;0;0;4;2;3;340
"045 Dawros";578;34;0;0;4;4;4;624
"046 An Dúchoraidh";76;8;0;0;0;0;1;85
"047 An Clochán Liath";1722;109;6;1;11;31;6;1886
"048 Baile na Finne";300;10;0;0;3;2;0;315
"049 Gleann Cholm Cille";661;29;5;0;5;7;7;714
"050 Gleann Gheis";620;24;0;0;4;13;5;666
"051 Gleann Léithín";172;10;0;0;3;0;0;185
"052 Na Gleannta";1335;61;10;2;14;8;9;1439
"053 An Ghrafaidh";190;14;0;0;2;1;0;207
"054 Inis Caoil";96;5;1;0;0;1;0;103
"055 Cill Charthaigh";628;11;0;0;2;3;5;649
"056 Cill Ghabhlaigh";360;9;1;0;6;2;6;384
"057 Killybegs";2178;74;0;12;9;15;12;2300
"058 An Leargaidh Mhór";542;4;1;0;0;3;7;557
"059 Leitir Mhic an Bhaird";575;58;0;0;22;7;3;665
"060 Maas";282;16;2;0;2;4;0;306
"061 An Machaire";619;56;0;0;11;10;4;700
"062 Málainn Bhig";364;16;0;0;3;2;3;388
"063 Maol Mosóg";207;9;0;0;3;0;0;219
"064 Inis Mhic an Doirn";1265;110;0;1;23;5;4;1408
"065 Tieveskeelta";95;5;0;0;0;1;0;101
"066 Ardmalin";656;32;0;0;0;8;0;696
"067 Ballyliffin";1191;52;2;3;12;11;1;1272
"068 Birdstown";937;41;0;1;9;7;12;1007
"069 Buncrana Rural";2598;142;22;22;27;58;34;2903
"070 Burt";1189;30;0;0;0;1;11;1231
"071 Carndonagh";1730;107;3;0;5;23;31;1899
"072 Carthage";916;41;0;0;0;14;15;986
"073 Castlecary";601;36;0;3;3;3;0;646
"074 Castleforward";843;39;1;0;3;5;8;899
"075 Culdaff";795;70;0;0;1;5;1;872
"076 Desertegny";618;32;0;0;2;3;4;659
"077 Dunaff";610;37;0;0;1;2;1;651
"078 Fahan";1343;64;0;0;7;5;8;1427
"079 Glennagannon";613;33;0;0;0;6;8;660
"080 Gleneely";693;40;0;0;1;1;4;739
"081 Glentogher";1001;78;3;0;8;15;18;1123
"082 Greencastle";736;24;1;0;1;3;3;768
"083 Illies";742;23;5;0;6;4;5;785
"084 Inch Island";387;24;0;0;7;2;6;426
"085 Kilderry";1573;77;1;6;4;21;11;1693
"086 Killea";1413;40;0;13;0;6;16;1488
"087 Malin";581;27;0;0;1;3;1;613
"088 Mintiaghs";756;20;0;0;4;2;6;788
"089 Moville";1983;80;0;8;13;20;10;2114
"090 Newtown Cunningham";1111;41;0;4;1;2;12;1171
"091 Redcastle";678;56;0;0;3;1;15;753
"092 Straid";1255;42;0;0;9;11;10;1327
"093 Three Trees";590;30;0;0;0;8;2;630
"094 Turmone";277;16;0;0;0;0;4;297
"095 Whitecastle";791;58;0;0;0;1;8;858
"096 Ballymacool";1438;68;5;8;19;57;1;1596
"097 Castlewray";3078;133;2;0;14;61;15;3303
"098 Mín an Lábáin";244;27;0;1;2;2;1;277
"099 Corravaddy";1017;48;2;0;14;36;7;1124
"100 Edenacarnan";747;36;0;0;3;13;4;803
"101 Gartán";166;11;0;0;1;2;0;180
"102 Gortnavern";934;29;13;0;2;19;12;1009
"103 Killymasny";396;13;0;0;2;2;0;413
"104 Kincraigy";847;13;0;0;1;6;6;873
"105 Letterkenny Rural";9108;416;171;31;103;784;84;10697
"106 Magheraboy";1503;46;0;0;0;7;3;1559
"107 Manorcunningham";791;32;0;0;1;0;9;833
"108 Suí Corr";85;9;0;0;0;0;1;95
"109 Templedouglas";780;16;0;0;1;13;3;813
"110 Ballyarr";426;21;0;0;6;2;0;455
"111 Carraig Airt";830;60;5;0;2;6;3;906
"112 An Cheathrú Chaol";782;59;0;0;1;1;5;848
"113 Creamhghort";565;12;0;0;1;1;5;584
"114 Fánaid Thuaidh";499;24;0;0;6;3;3;535
"115 Fánaid Thiar";426;28;0;0;0;0;0;454
"116 Glen";219;25;0;0;1;1;2;248
"117 Glenalla";369;10;0;0;0;6;0;385
"118 Grianfort";305;15;0;0;1;1;2;324
"119 Killygarvan";72;16;0;0;0;0;0;88
"120 Kilmacrenan";1106;74;0;0;4;11;7;1202
"121 Cnoc Colbha";212;17;0;0;1;0;0;230
"122 Loch Caol";256;15;0;0;0;1;0;272
"123 Millford";1325;73;0;0;10;6;3;1417
"124 Rathmelton";1932;125;4;0;17;11;3;2092
"125 Rathmullan";755;39;5;0;4;9;2;814
"126 Ros Goill";745;39;5;1;14;5;6;815
"127 Rosnakill";240;6;0;0;0;1;0;247
"128 An Tearmann";409;26;1;0;2;1;1;440
"129 Allt na Péiste";376;8;0;0;3;0;1;388
"130 Castlefinn";1257;34;2;3;11;8;8;1323
"131 An Clochán";814;28;0;0;0;3;5;850
"132 Cloghard";648;17;0;0;0;0;0;665
"133 Clonleigh North";1276;48;0;0;2;1;1;1328
"134 Clonleigh South";1949;45;0;1;8;20;6;2029
"135 Convoy";2052;65;29;2;0;15;17;2180
"136 Dooish";944;39;13;0;4;15;3;1018
"137 Feddyglass";379;11;0;0;0;2;0;392
"138 Figart";800;44;0;0;4;6;2;856
"139 Gleneely";1324;42;0;0;2;5;9;1382
"140 Goland";311;13;0;0;1;0;1;326
"141 Killygordon";963;30;0;1;7;11;0;1012
"142 Knock";1372;45;9;21;14;17;5;1483
"143 Lettermore";338;23;1;0;0;2;2;366
"144 Mín Charraigeach";86;3;0;0;0;0;1;90
"145 Raphoe";1386;56;3;0;2;6;5;1458
"146 St. Johnstown";1167;34;0;4;1;6;6;1218
"147 Stranorlar";3652;118;63;10;58;124;16;4041
"148 Treantaghmucklagh";607;26;0;0;1;0;1;635
"149 Urney West";485;10;0;0;0;0;1;496
"Monaghan County";49738;1121;680;1650;818;885;470;55362
"001 Carrickmacross Urban";1524;31;34;118;142;67;18;1934
"002 Castleblayney Urban";726;24;12;63;47;29;5;906
"003 Clones Urban";798;13;11;100;5;33;10;970
"004 Monaghan Urban";1434;35;165;244;81;126;37;2122
"005 Ballymackney";872;10;5;3;2;13;13;918
"006 Bocks";565;12;6;5;3;5;2;598
"007 Carrickmacross Rural";2574;69;34;169;122;82;18;3068
"008 Corracharra";243;13;0;6;2;0;1;265
"009 Crossalare";541;9;0;0;2;9;5;566
"010 Donaghmoyne";637;2;0;0;0;1;1;641
"011 Drumboory";425;15;0;6;4;5;7;462
"012 Drumcarrow";345;11;2;3;3;5;1;370
"013 Drumgurra";513;16;2;0;3;11;5;550
"014 Enagh";668;9;7;5;0;8;3;700
"015 Inishkeen";939;15;6;0;2;3;11;976
"016 Kilmurry";521;3;2;0;4;1;1;532
"017 Kiltybegs";560;5;0;0;0;3;2;570
"018 Loughfea";521;13;7;10;0;4;10;565
"019 Raferagh";434;8;0;4;0;1;9;456
"020 Annayalla";542;13;5;11;2;9;0;582
"021 Ballybay Rural";1175;29;22;90;28;17;10;1371
"022 Ballybay Urban";285;10;8;37;33;12;3;388
"023 Bellatrain";217;5;5;9;0;4;0;240
"024 Broomfield";680;13;9;0;5;5;5;717
"025 Carrickaslane";485;7;0;2;0;3;4;501
"026 Carrickatee";300;1;0;0;0;0;6;307
"027 Castleblayney Rural";2914;85;13;59;38;48;15;3172
"028 Church Hill";535;14;0;0;4;8;7;568
"029 Creeve";525;12;0;15;0;0;10;562
"030 Cremartin";911;15;5;4;1;7;22;965
"031 Greagh";394;3;0;13;0;0;2;412
"032 Laragh";494;6;0;0;1;11;3;515
"033 Mullyash";336;12;0;0;4;0;1;353
"034 Aghabog";290;9;0;0;0;0;4;303
"035 Anny";309;7;0;0;11;1;3;331
"036 Clones Rural";1360;26;2;18;7;4;3;1420
"037 Cormeen";438;6;0;0;1;2;9;456
"038 Currin";527;6;1;8;1;4;8;555
"039 Dawsongrove";628;31;0;5;0;2;5;671
"040 Drum";178;4;0;3;1;0;4;190
"041 Drummully";88;0;0;4;0;0;0;92
"042 Killeevan";348;8;0;0;1;5;0;362
"043 Killynenagh";159;5;0;0;0;0;4;168
"044 Lisnaveane";397;7;3;0;1;1;9;418
"045 Newbliss";682;21;5;13;0;6;3;730
"046 St. Tierney";391;11;0;6;2;1;2;413
"047 Anketell Grove";918;23;0;27;9;15;14;1006
"048 Bellanode";1185;21;23;4;24;74;13;1344
"049 Bragan";268;4;0;4;4;6;1;287
"050 Caddagh";430;11;0;5;7;5;5;463
"051 Castleshane";847;10;0;0;1;15;2;875
"052 Clones";431;14;0;0;1;5;5;456
"053 Clontibret";671;11;0;8;1;5;3;699
"054 Derrygorry";248;11;0;1;8;1;2;271
"055 Drumhillagh";587;13;0;3;2;8;9;622
"056 Drumsnat";860;23;1;21;9;12;6;932
"057 Emyvale";1011;22;4;132;19;10;19;1217
"058 Enagh";445;12;4;4;6;2;2;475
"059 Figullar";385;6;1;15;0;7;2;416
"060 Glaslough";674;50;0;4;4;11;8;751
"061 Killylough";539;5;1;0;0;3;3;551
"062 Kilmore";510;8;0;1;2;1;1;523
"063 Monaghan Rural";4508;97;258;355;135;122;40;5515
"064 Rackwallace";749;16;3;6;7;1;10;792
"065 Scotstown";1037;19;5;0;6;4;3;1074
"066 Shanmullagh";216;6;0;0;0;0;1;223
"067 Sheskin";533;9;0;1;0;3;5;551
"068 Tedavnet";811;17;0;8;3;9;6;854
"069 Tehallan";830;26;9;17;6;7;4;899
"070 Tullycorbet";617;8;0;1;1;3;5;635
"State";3706683;112548;63276;24628;75323;143958;45597;4172013
