"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"Geographic Area";;;;;
"Leinster";1968918;134031;53638;69762;2226349
"Carlow County";43769;2357;1527;1324;48977
"001 Carlow Urban";3609;366;148;256;4379
"002 Graigue Urban";1300;57;41;83;1481
"003 Clonmore";495;5;17;3;520
"004 Hacketstown";970;35;20;19;1044
"005 Haroldstown";249;4;5;7;265
"006 Kineagh";283;13;10;0;306
"007 Rahill";493;16;51;12;572
"008 Rathvilly";700;37;38;9;784
"009 Tiknock";301;1;10;8;320
"010 Williamstown";228;18;11;7;264
"011 Agha";289;19;6;3;317
"012 Ballinacarrig";842;43;24;11;920
"013 Ballintemple";429;30;8;5;472
"014 Ballon";512;61;28;23;624
"015 Ballyellin";361;5;2;1;369
"016 Ballymoon";243;3;7;3;256
"017 Borris";897;24;20;25;966
"018 Burton Hall";330;17;8;4;359
"019 Carlow Rural";10395;816;518;428;12157
"020 Clogrenan";725;24;30;3;782
"021 Clonegall";828;28;33;5;894
"022 Corries";476;6;9;0;491
"023 Cranemore";748;27;60;31;866
"024 Fennagh";481;16;8;4;509
"025 Garryhill";534;22;8;5;569
"026 Grangeford";275;18;21;6;320
"027 Johnstown";497;10;12;3;522
"028 Kellistown";969;25;10;10;1014
"029 Kilbride";360;7;10;2;379
"030 Killedmond";368;16;16;4;404
"031 Killerrig";303;10;8;6;327
"032 Leighlinbridge";1376;40;7;36;1459
"033 Muinebeag (Bagenalstown) Rural";620;20;9;3;652
"034 Muinebeag (Bagenalstown) Urban";2313;87;28;59;2487
"035 Myshall";390;25;35;7;457
"036 Nurney";829;13;14;4;860
"037 Oldleighlin";415;13;6;2;436
"038 Rathanna";118;1;2;1;122
"039 Rathornan";340;18;3;0;361
"040 Rathrush";799;75;48;30;952
"041 Ridge";197;11;8;1;217
"042 Shangarry";447;6;8;3;464
"043 Sliguff";459;13;9;0;481
"044 Tankardstown";398;13;7;12;430
"045 Templepeter";386;11;2;1;400
"046 Tullowbeg";417;28;14;5;464
"047 Tullow Rural";433;17;16;16;482
"048 Tullow Urban";2413;161;67;144;2785
"049 Ballymurphy";225;5;2;8;240
"050 Coonogue";184;2;5;0;191
"051 Glynn";322;5;7;4;338
"052 Kyle";276;4;6;0;286
"053 Marley";296;3;6;0;305
"054 Tinnahinch";626;7;21;2;656
"Dublin City";415199;38417;8385;23865;485866
"001 Arran Quay A";1047;163;53;189;1452
"002 Arran Quay B";2510;476;119;449;3554
"003 Arran Quay C";2162;650;165;524;3501
"004 Arran Quay D";2796;282;60;176;3314
"005 Arran Quay E";2303;292;58;165;2818
"006 Ashtown A";6491;622;140;306;7559
"007 Ashtown B";2243;154;28;63;2488
"008 Ayrfield";4872;265;23;87;5247
"009 Ballybough A";2997;322;41;164;3524
"010 Ballybough B";2162;299;77;354;2892
"011 Ballygall A";2808;294;38;121;3261
"012 Ballygall B";1584;124;19;49;1776
"013 Ballygall C";3236;164;26;83;3509
"014 Ballygall D";2204;163;23;61;2451
"015 Ballymun A";1874;181;6;10;2071
"016 Ballymun B";3397;280;34;147;3858
"017 Ballymun C";5421;236;52;100;5809
"018 Ballymun D";2991;239;19;147;3396
"019 Ballymun E";1410;63;24;26;1523
"020 Ballymun F";2283;107;5;56;2451
"021 Beaumont A";2352;120;16;75;2563
"022 Beaumont B";4262;352;62;246;4922
"023 Beaumont C";2696;190;29;79;2994
"024 Beaumont D";2194;88;29;30;2341
"025 Beaumont E";1878;88;18;75;2059
"026 Beaumont F";3087;243;58;140;3528
"027 Botanic A";2587;255;46;131;3019
"028 Botanic B";2550;310;85;151;3096
"029 Botanic C";1664;185;43;129;2021
"030 Cabra East A";4190;505;120;385;5200
"031 Cabra East B";3183;142;27;103;3455
"032 Cabra East C";2641;295;77;233;3246
"033 Cabra West A";1489;35;3;19;1546
"034 Cabra West B";2412;126;13;42;2593
"035 Cabra West C";2603;112;19;71;2805
"036 Cabra West D";2465;164;25;108;2762
"037 Clontarf East A";3005;107;15;43;3170
"038 Clontarf East B";5843;353;59;218;6473
"039 Clontarf East C";2634;183;24;85;2926
"040 Clontarf East D";2279;224;27;77;2607
"041 Clontarf East E";1464;89;18;35;1606
"042 Clontarf West A";3026;196;47;91;3360
"043 Clontarf West B";2158;136;16;51;2361
"044 Clontarf West C";2673;404;86;227;3390
"045 Clontarf West D";1611;185;45;185;2026
"046 Clontarf West E";2037;142;35;72;2286
"047 Drumcondra South A";3192;349;121;189;3851
"048 Drumcondra South B";1082;128;43;79;1332
"049 Drumcondra South C";2670;296;107;100;3173
"050 Edenmore";2581;78;22;35;2716
"051 Finglas North A";3241;142;8;19;3410
"052 Finglas North B";2783;103;11;33;2930
"053 Finglas North C";2822;108;19;44;2993
"054 Finglas South A";2442;112;9;30;2593
"055 Finglas South B";2997;173;18;51;3239
"056 Finglas South C";2429;101;10;8;2548
"057 Finglas South D";1996;112;12;14;2134
"058 Grace Park";5230;328;104;146;5808
"059 Grange A";6435;281;51;113;6880
"060 Grange B";2173;464;38;129;2804
"061 Grange C";3098;101;15;49;3263
"062 Grange D";3871;174;30;72;4147
"063 Grange E";2476;79;10;49;2614
"064 Harmonstown A";2622;88;20;48;2778
"065 Harmonstown B";2429;123;11;31;2594
"066 Inns Quay A";2887;346;102;313;3648
"067 Inns Quay B";2405;273;53;275;3006
"068 Inns Quay C";2125;225;39;212;2601
"069 Kilmore A";3052;217;34;96;3399
"070 Kilmore B";2647;81;4;27;2759
"071 Kilmore C";1401;30;0;14;1445
"072 Kilmore D";2100;83;15;34;2232
"073 Mountjoy A";2330;401;72;474;3277
"074 Mountjoy B";2350;318;52;547;3267
"075 North City";1999;398;60;428;2885
"076 North Dock A";971;112;31;55;1169
"077 North Dock B";3039;281;55;172;3547
"078 North Dock C";3121;309;109;330;3869
"079 Phoenix Park";1110;248;49;111;1518
"080 Priorswood A";1446;81;8;13;1548
"081 Priorswood B";2728;84;6;10;2828
"082 Priorswood C";3254;163;6;31;3454
"083 Priorswood D";2525;133;14;40;2712
"084 Priorswood E";2573;63;24;26;2686
"085 Raheny-Foxfield";2393;72;7;29;2501
"086 Raheny-Greendale";2117;71;22;34;2244
"087 Raheny-St. Assam";3037;141;13;59;3250
"088 Rotunda A";3060;414;60;456;3990
"089 Rotunda B";1306;302;42;307;1957
"090 Whitehall A";2969;343;159;160;3631
"091 Whitehall B";3310;330;100;164;3904
"092 Whitehall C";1960;86;24;64;2134
"093 Whitehall D";2069;227;62;158;2516
"094 Chapelizod";2448;303;53;160;2964
"095 Cherry Orchard A";2580;136;17;27;2760
"096 Carna";2571;82;12;8;2673
"097 Cherry Orchard C";3360;251;41;67;3719
"098 Crumlin A";3477;149;24;70;3720
"099 Crumlin B";2856;140;31;48;3075
"100 Crumlin C";2090;137;39;81;2347
"101 Crumlin D";3580;229;29;89;3927
"102 Crumlin E";2594;89;13;60;2756
"103 Crumlin F";2614;174;39;155;2982
"104 Decies";2695;79;6;24;2804
"105 Drumfinn";3348;108;8;21;3485
"106 Inchicore A";1642;134;34;102;1912
"107 Inchicore B";1621;94;8;47;1770
"108 Kilmainham A";2106;220;13;40;2379
"109 Kilmainham B";1261;200;45;102;1608
"110 Kilmainham C";3466;363;85;224;4138
"111 Kimmage A";1865;76;13;35;1989
"112 Kimmage B";3399;143;24;71;3637
"113 Kimmage C";2193;348;143;158;2842
"114 Kimmage D";2318;167;31;42;2558
"115 Kimmage E";3004;223;43;79;3349
"116 Kylemore";2553;83;6;14;2656
"117 Mansion House A";2993;462;98;311;3864
"118 Mansion House B";387;69;20;78;554
"119 Merchants Quay A";1404;230;41;178;1853
"120 Merchants Quay B";2592;551;103;519;3765
"121 Merchants Quay C";2111;341;56;256;2764
"122 Merchants Quay D";1695;177;28;103;2003
"123 Merchants Quay E";1488;309;122;265;2184
"124 Merchants Quay F";1887;226;28;155;2296
"125 Pembroke East A";4092;333;70;157;4652
"126 Pembroke East B";2873;256;59;150;3338
"127 Pembroke East C";3099;304;72;175;3650
"128 Pembroke East D";3447;401;82;268;4198
"129 Pembroke East E";2662;361;79;282;3384
"130 Pembroke West A";3036;528;130;290;3984
"131 Pembroke West B";2228;280;79;189;2776
"132 Pembroke West C";2948;395;97;304;3744
"133 Rathfarnham";3604;446;196;299;4545
"134 Rathmines East A";3075;561;151;320;4107
"135 Rathmines East B";3919;679;188;349;5135
"136 Rathmines East C";2776;288;66;166;3296
"137 Rathmines East D";2104;303;101;157;2665
"138 Rathmines West A";3454;680;219;507;4860
"139 Rathmines West B";2175;519;121;342;3157
"140 Rathmines West C";1973;283;88;190;2534
"141 Rathmines West D";2509;357;83;175;3124
"142 Rathmines West E";2525;334;110;200;3169
"143 Rathmines West F";2080;342;137;222;2781
"144 Royal Exchange A";2173;299;69;298;2839
"145 Royal Exchange B";1255;127;32;122;1536
"146 St. Kevin's";3181;524;137;491;4333
"147 South Dock";3050;776;215;566;4607
"148 Terenure A";2743;260;121;163;3287
"149 Terenure B";2833;258;61;86;3238
"150 Terenure C";1590;112;11;36;1749
"151 Terenure D";734;45;3;9;791
"152 Ushers A";1255;248;73;290;1866
"153 Ushers B";866;171;23;159;1219
"154 Ushers C";2457;274;39;206;2976
"155 Ushers D";1121;340;26;114;1601
"156 Ushers E";1637;132;36;80;1885
"157 Ushers F";2483;394;89;174;3140
"158 Walkinstown A";1807;74;15;45;1941
"159 Walkinstown B";1670;80;9;22;1781
"160 Walkinstown C";1973;92;9;33;2107
"161 Wood Quay A";2292;154;33;98;2577
"162 Wood Quay B";2675;337;70;286;3368
"Dún Laoghaire-Rathdown";166847;12762;2940;5619;188168
"001 Ballinteer-Broadford";2815;189;36;67;3107
"002 Ballinteer-Ludford";1934;95;15;29;2073
"003 Ballinteer-Marley";2227;120;26;37;2410
"004 Ballinteer-Meadowbroads";1417;77;18;34;1546
"005 Ballinteer-Meadowmount";1830;77;12;22;1941
"006 Ballinteer-Woodpark";3749;314;51;88;4202
"007 Ballybrack";2928;83;43;73;3127
"008 Blackrock-Booterstown";2275;315;74;164;2828
"009 Blackrock-Carysfort";4622;505;122;194;5443
"010 Blackrock-Central";2919;249;86;196;3450
"011 Blackrock-Glenomena";1517;148;39;66;1770
"012 Blackrock-Monkstown";2580;258;33;98;2969
"013 Blackrock-Newpark";1895;102;20;56;2073
"014 Blackrock-Seapoint";1101;108;13;61;1283
"015 Blackrock-Stradbrook";2116;123;23;49;2311
"016 Blackrock-Templehill";2309;172;46;85;2612
"017 Blackrock-Williamstown";1923;211;57;92;2283
"018 Cabinteely-Granitefield";2185;100;23;54;2362
"019 Cabinteely-Kilbogget";2793;68;20;40;2921
"020 Cabinteely-Loughlinstown";1735;500;104;141;2480
"021 Cabinteely-Pottery";4470;187;41;66;4764
"022 Churchtown-Castle";1124;69;13;14;1220
"023 Churchtown-Landscape";1110;45;7;9;1171
"024 Churchtown-Nutgrove";2830;125;19;63;3037
"025 Churchtown-Orwell";1632;96;31;27;1786
"026 Churchtown-Woodlawn";1137;84;18;40;1279
"027 Clonskeagh-Belfield";1191;387;270;331;2179
"028 Clonskeagh-Farranboley";1312;99;19;26;1456
"029 Clonskeagh-Milltown";1568;148;47;76;1839
"030 Clonskeagh-Roebuck";1669;206;42;64;1981
"031 Clonskeagh-Windy Arbour";2005;264;83;103;2455
"032 Dalkey-Avondale";1288;57;14;21;1380
"033 Dalkey-Bullock";1480;110;31;28;1649
"034 Dalkey-Coliemore";1217;74;19;47;1357
"035 Dalkey Hill";1176;96;16;49;1337
"036 Dalkey Upper";1914;86;16;50;2066
"037 Dundrum-Balally";4258;284;80;152;4774
"038 Dundrum-Kilmacud";2368;293;69;159;2889
"039 Dundrum-Sandyford";4600;699;132;224;5655
"040 Dundrum-Sweetmount";1672;90;23;48;1833
"041 Dundrum-Taney";2275;153;33;57;2518
"042 Dún Laoghaire-East Central";1436;146;35;130;1747
"043 Dún Laoghaire-Glasthule";2310;128;47;86;2571
"044 Dún Laoghaire-Glenageary";1683;107;26;88;1904
"045 Dún Laoghaire-Monkstown Farm";1696;163;28;50;1937
"046 Dún Laoghaire-Mount Town";1446;82;15;29;1572
"047 Dún Laoghaire-Sallynoggin East";2697;89;9;46;2841
"048 Dún Laoghaire-Sallynoggin South";1273;50;11;26;1360
"049 Dún Laoghaire-Sallynoggin West";1816;94;10;26;1946
"050 Dún Laoghaire-Sandycove";3306;183;21;110;3620
"051 Dún Laoghaire-Salthill";1316;168;28;107;1619
"052 Dún Laoghaire-West Central";1697;165;17;91;1970
"053 Foxrock-Beechpark";1600;46;10;19;1675
"054 Foxrock-Carrickmines";5443;276;27;119;5865
"055 Foxrock-Deans Grange";2232;136;28;33;2429
"056 Foxrock-Torquay";1174;108;13;40;1335
"057 Glencullen";11428;1225;229;369;13251
"058 Killiney North";2908;141;20;79;3148
"059 Killiney South";5795;293;38;82;6208
"060 Shankill-Rathmichael";4009;301;90;96;4496
"061 Shankill-Rathsallagh";3089;138;25;36;3288
"062 Shankill-Shanganagh";4641;276;101;150;5168
"063 Stillorgan-Deerpark";2546;148;21;57;2772
"064 Stillorgan-Kilmacud";3334;267;73;92;3766
"065 Stillorgan-Leopardstown";1862;70;22;62;2016
"066 Stillorgan-Merville";2509;111;36;142;2798
"067 Stillorgan-Mount Merrion";2104;169;28;39;2340
"068 Stillorgan-Priory";1732;150;31;83;1996
"069 Tibradden";599;66;17;32;714
"Fingal";203326;18131;3344;7668;232469
"001 Airport";888;317;59;103;1367
"002 Balbriggan Rural";7566;1206;361;193;9326
"003 Balbriggan Urban";6005;340;100;120;6565
"004 Baldoyle";5505;195;28;110;5838
"005 Balgriffin";706;136;5;23;870
"006 Ballyboghil";846;64;6;19;935
"007 Balscadden";590;31;13;10;644
"008 Blanchardstown-Abbotstown";3040;500;82;354;3976
"009 Blanchardstown-Blakestown";26964;2651;590;1040;31245
"010 Blanchardstown-Coolmine";9433;585;117;369;10504
"011 Blanchardstown-Corduff";4318;226;35;127;4706
"012 Blanchardstown-Delwood";4295;309;64;177;4845
"013 Blanchardstown-Mulhuddart";2335;169;55;124;2683
"014 Blanchardstown-Roselawn";1649;69;30;51;1799
"015 Blanchardstown-Tyrrelstown";1455;33;23;9;1520
"016 Castleknock-Knockmaroon";14357;1280;263;672;16572
"017 Castleknock-Park";3881;217;51;122;4271
"018 Clonmethan";595;18;3;2;618
"019 Donabate";6447;633;104;168;7352
"020 Dubber";2646;665;79;188;3578
"021 Garristown";1097;24;20;15;1156
"022 Hollywood";928;38;6;5;977
"023 Holmpatrick";2970;101;14;28;3113
"024 Howth";7337;380;42;200;7959
"025 Kilsallaghan";1922;80;10;34;2046
"026 Kinsaley";4310;784;104;139;5337
" 027 Lucan North";958;119;24;7;1108
"028 Lusk";5725;843;104;142;6814
"029 Malahide East";5059;521;33;288;5901
"030 Malahide West";5646;305;29;139;6119
"031 Portmarnock North";4225;127;30;76;4458
"032 Portmarnock South";3171;195;26;72;3464
"033 Rush";7194;543;66;199;8002
"034 Skerries";7301;419;59;171;7950
"035 Sutton";5223;329;35;148;5735
"036 Swords-Forrest";10242;1132;165;539;12078
"037 Swords-Glasmore";6977;318;59;215;7569
"038 Swords-Lissenhall";7320;835;162;380;8697
"039 Swords-Seatown";4881;474;96;266;5717
"040 Swords Village";2058;195;25;170;2448
"041 The Ward";3769;635;143;389;4936
"042 Turnapin";1492;90;24;65;1671
"South Dublin";217862;14274;2738;5878;240752
"001 Ballinascorney";631;67;5;22;725
"002 Ballyboden";4720;247;43;84;5094
"003 Bohernabreena";3897;199;15;42;4153
"004 Clondalkin-Ballymount";1794;93;24;51;1962
"005 Clondalkin-Cappaghmore";1822;53;11;7;1893
"006 Clondalkin-Dunawley";9509;677;109;321;10616
"007 Clondalkin-Monastery";8624;731;126;500;9981
"008 Clondalkin-Moorfield";5470;309;23;56;5858
"009 Clondalkin-Rowlagh";3917;134;25;47;4123
"010 Clondalkin Village";7472;489;93;320;8374
"011 Edmondstown";5063;314;62;95;5534
"012 Firhouse-Ballycullen";5967;322;59;92;6440
"013 Firhouse-Knocklyon";3758;122;21;50;3951
"014 Firhouse Village";9214;932;108;215;10469
"015 Lucan-Esker";21316;2211;588;814;24929
"016 Lucan Heights";4744;256;65;80;5145
"017 Lucan-St. Helen's";5866;291;108;177;6442
"018 Newcastle";2300;171;51;50;2572
"019 Palmerston Village";3489;133;31;54;3707
"020 Palmerston West";7065;275;62;118;7520
"021 Rathcoole";3128;180;61;147;3516
"022 Rathfarnham-Ballyroan";2282;107;14;30;2433
"023 Rathfarnham-Butterfield";2903;211;40;57;3211
"024 Rathfarnham-Hermitage";4029;331;45;113;4518
"025 Rathfarnham-St. Enda's";3553;179;39;84;3855
"026 Rathfarnham Village";2650;169;37;118;2974
"027 Saggart";1526;232;61;67;1886
"028 Tallaght-Avonbeg";1486;47;2;11;1546
"029 Tallaght-Belgard";1626;81;15;88;1810
"030 Tallaght-Fettercairn";6058;292;24;56;6430
"031 Tallaght-Glenview";1098;76;14;34;1222
"032 Tallaght-Jobstown";11103;1395;256;322;13076
"033 Tallaght-Killinardan";3922;111;8;29;4070
"034 Tallaght-Kilnamanagh";4578;184;25;91;4878
"035 Tallaght-Kiltipper";5612;529;65;77;6283
"036 Tallaght-Kingswood";3632;107;25;100;3864
"037 Tallaght-Millbrook";3306;102;31;63;3502
"038 Tallaght-Oldbawn";4071;140;27;76;4314
"039 Tallaght-Springfield";6455;571;89;514;7629
"040 Tallaght-Tymon";4728;189;28;84;5029
"041 Templeogue-Cypress";2720;95;27;58;2900
"042 Templeogue-Kimmage Manor";3742;234;64;135;4175
"043 Templeogue-Limekiln";3408;124;16;60;3608
"044 Templeogue-Orwell";2164;46;21;50;2281
"045 Templeogue-Osprey";2436;57;9;21;2523
"046 Templeogue Village";1628;142;35;94;1899
"047 Terenure-Cherryfield";2065;104;9;36;2214
"048 Terenure-Greentrees";2676;129;10;29;2844
"049 Terenure-St. James";2639;84;12;39;2774
"Kildare County";159531;9415;6941;5332;181219
"001 Athy East Urban";2734;171;136;129;3170
"002 Athy West Urban";2479;224;173;81;2957
"003 Naas Urban";16552;1105;651;1152;19460
"004 Athy Rural";1909;219;246;61;2435
"005 Ballaghmoon";207;3;6;0;216
"006 Ballitore";692;34;29;10;765
"007 Ballybrackan";415;24;20;1;460
"008 Ballyshannon";1445;73;37;22;1577
"009 Belan";199;2;11;0;212
"010 Bert";134;15;1;0;150
"011 Burtown";279;16;5;7;307
"012 Carrigeen";551;6;8;2;567
"013 Castledermot";1163;32;78;7;1280
"014 Churchtown";444;16;8;2;470
"015 Dunmanoge";428;6;15;3;452
"016 Fontstown";360;10;0;4;374
"017 Graney";540;37;28;9;614
"018 Grangemellon";524;20;15;2;561
"019 Harristown";334;33;6;1;374
"020 Inchaquire";168;5;8;0;181
"021 Johnstown";155;5;3;2;165
"022 Kilberry";550;17;6;0;573
"023 Kildangan";480;11;7;15;513
"024 Kilkea";293;13;11;6;323
"025 Kilrush";515;26;22;4;567
"026 Lackagh";618;26;14;4;662
"027 Monasterevin";3153;209;127;78;3567
"028 Moone";393;12;10;4;419
"029 Narraghmore";629;36;19;14;698
"030 Nurney";792;63;21;1;877
"031 Quinsborough";121;11;1;0;133
"032 Skerries";447;25;6;0;478
"033 Balraheen";1486;60;27;27;1600
"034 Celbridge";13069;510;562;416;14557
"035 Cloncurry";1282;37;36;9;1364
"036 Donadea";626;27;11;5;669
"037 Donaghcumper";3371;238;387;139;4135
"038 Kilcock";3637;351;353;208;4549
"039 Leixlip";13181;396;428;428;14433
"040 Maynooth";8600;1005;948;501;11054
"041 Straffan";1227;61;29;31;1348
"042 Ballynadrumny";488;7;22;6;523
"043 Cadamstown";1017;13;33;10;1073
"044 Carbury";1574;67;29;23;1693
"045 Carrick";230;0;10;0;240
"046 Cloncurry";328;10;2;6;346
"047 Drehid";215;10;1;0;226
"048 Dunfierth";635;10;28;6;679
"049 Killinthomas";423;7;0;2;432
"050 Kilpatrick";791;16;15;6;828
"051 Kilrainy";522;44;39;7;612
"052 Lullymore";171;5;1;0;177
"053 Rathangan";1357;65;24;22;1468
"054 Thomastown";637;27;29;14;707
"055 Windmill Cross";746;56;36;18;856
"056 Ballymore Eustace";1425;27;13;24;1489
"057 Ballysax East";1894;114;49;24;2081
"058 Ballysax West";943;38;26;13;1020
"059 Bodenstown";3282;165;114;74;3635
"060 Carnalway";1528;83;28;22;1661
"061 Carragh";1327;56;53;14;1450
"062 Clane";5119;425;212;196;5952
"063 Donore";682;37;7;11;737
"064 Downings";2288;156;41;24;2509
"065 Droichead Nua (Newbridge) Rural";1600;116;81;16;1813
"066 Droichead Nua (Newbridge) Urban";6709;465;170;330;7674
"067 Dunmurry";356;21;6;9;392
"068 Feighcullen";477;20;6;7;510
"069 Gilltown";824;21;20;6;871
"070 Kilcullen";2600;161;110;64;2935
"071 Kildare";7312;554;389;268;8523
"072 Kill";3256;136;166;69;3627
"073 Killashee";248;7;8;10;273
"074 Kilmeage North";1657;43;25;14;1739
"075 Kilmeage South";1495;80;45;13;1633
"076 Kilteel";506;16;12;5;539
"077 Ladytown";718;55;25;20;818
"078 Morristownbiller";9360;704;346;420;10830
"079 Naas Rural";1365;123;83;69;1640
"080 Newtown";436;10;7;11;464
"081 Oldconnell";792;38;4;14;848
"082 Oughterard";624;19;12;13;668
"083 Pollardstown";266;14;0;2;282
"084 Rathernan";473;12;7;1;493
"085 Rathmore";936;15;22;19;992
"086 Robertstown";1746;62;30;18;1856
"087 Timahoe North";926;29;11;5;971
"088 Timahoe South";615;52;23;6;696
"089 Usk";430;14;12;16;472
"Kilkenny County";77776;3535;2291;1841;85443
"001 Kilkenny No. 1 Urban";4180;336;184;254;4954
"002 Kilkenny No. 2 Urban";2935;185;104;151;3375
"003 Burnchurch";429;8;8;5;450
"004 Callan Rural";1200;65;19;8;1292
"005 Callan Urban";1299;90;37;40;1466
"006 Coolaghmore";334;15;4;8;361
"007 Dunamaggan";304;37;8;0;349
"008 Earlstown";184;12;4;3;203
"009 Kells";545;31;10;7;593
"010 Killamery";200;1;2;3;206
"011 Kilmaganny";640;16;2;19;677
"012 Kilmanagh";437;8;3;4;452
"013 Mallardstown";187;12;6;9;214
"014 Scotsborough";143;8;0;2;153
"015 Tullaghanbrogue";396;9;5;0;410
"016 Boolyglass";126;4;0;0;130
"017 Fiddown";668;26;42;17;753
"018 Muckalee";153;0;3;0;156
"019 Pilltown";1420;37;59;27;1543
"020 Templeorum";375;13;10;0;398
"021 Tubbrid";334;6;17;9;366
"022 Tullahought";158;1;2;1;162
"023 Whitechurch";383;8;17;2;410
"024 Attanagh";336;13;10;4;363
"025 Ballyragget";1318;66;21;13;1418
"026 Castlecomer";2196;81;39;54;2370
"027 Clogh";1191;22;18;2;1233
"028 Clogharinka";218;5;0;0;223
"029 Kilmacar";406;8;6;0;420
"030 Moneenroe";1160;42;23;16;1241
"031 Mothell";400;7;8;9;424
"032 Muckalee";426;7;5;7;445
"033 Brownsford";117;1;0;1;119
"034 Dysartmoon";246;1;0;2;249
"035 Jerpoint West";174;2;2;0;178
"036 Listerlin";293;9;6;0;308
"037 Rosbercon Rural";518;11;15;11;555
"038 Shanbogh";436;9;14;10;469
"039 The Rower";698;12;33;2;745
"040 Ballinamara";310;6;6;3;325
"041 Ballybeagh";264;5;4;2;275
"042 Ballycallan";407;18;1;3;429
"043 Clara";568;25;10;0;603
"044 Coolcraheen";464;14;10;4;492
"045 Dunbell";483;9;3;8;503
"046 Dunmore";429;5;17;4;455
"047 Freshford";991;46;12;20;1069
"048 Gowran";1001;50;32;5;1088
"049 Grange";734;32;16;1;783
"050 Kilkenny Rural";12783;983;493;563;14822
"051 Kilkieran";515;18;11;4;548
"052 Odagh";424;10;4;1;439
"053 Outrath";677;29;6;7;719
"054 Paulstown";723;55;45;31;854
"055 Rathcoole";394;8;3;4;409
"056 Rathealy";157;5;1;0;163
"057 St. Canice";517;25;7;3;552
"058 Shankill";569;16;22;22;629
"059 Tiscoffin";320;20;11;7;358
"060 Tullaroan";283;10;0;8;301
"061 Aghaviller";362;15;8;6;391
"062 Ballyhale";295;18;6;5;324
"063 Ballyvool";161;3;0;0;164
"064 Bennettsbridge";844;49;1;7;901
"065 Bramblestown";179;21;6;0;206
"066 Castlebanny";140;1;7;1;149
"067 Castlegannon";108;4;1;1;114
"068 Coolhill";265;1;3;0;269
"069 Danesfort";464;4;5;6;479
"070 Ennisnag";497;26;17;5;545
"071 Famma";264;9;4;2;279
"072 Freaghana";183;3;3;2;191
"073 Goresbridge";549;25;12;4;590
"074 Graiguenamanagh";1472;40;22;20;1554
"075 Inistioge";695;15;21;10;741
"076 Jerpoint Church";723;26;7;17;773
"077 Kilfane";234;4;4;3;245
"078 Kilkeasy";283;3;8;6;300
"079 Kiltorcan";141;5;2;2;150
"080 Knocktopher";391;11;6;18;426
"081 Pleberstown";164;1;4;0;169
"082 Powerstown";450;4;8;9;471
"083 Stonyford";455;42;17;9;523
"084 Thomastown";1663;107;29;66;1865
"085 Tullaherin";175;6;3;3;187
"086 Ullard";228;3;12;2;245
"087 Woolengrange";255;1;4;0;260
"088 Balleen";381;7;3;5;396
"089 Ballyconra";249;7;9;1;266
"090 Baunmore";144;1;5;0;150
"091 Clomantagh";254;5;12;2;273
"092 Galmoy";278;1;6;0;285
"093 Glashare";289;3;5;1;298
"094 Johnstown";815;29;8;5;857
"095 Lisdowney";203;4;4;0;211
"096 Rathbeagh";223;6;1;0;230
"097 Tubbridbrittain";251;10;10;4;275
"098 Urlingford";894;91;38;46;1069
"099 Aglish";850;6;33;3;892
"100 Ballincrea";295;7;4;0;306
"101 Dunkitt";951;23;15;8;997
"102 Farnoge";261;9;7;0;277
"103 Kilbeacon";166;4;1;0;171
"104 Kilbride";324;1;12;0;337
"105 Kilcolumb";517;12;5;4;538
"106 Kilculliheen (part)";2862;116;313;104;3395
"107 Killahy";658;15;11;7;691
"108 Kilmakevoge";387;15;12;4;418
"109 Pollrone";1071;34;42;12;1159
"110 Portnascully";971;17;20;12;1020
"111 Rathpatrick";1106;15;19;5;1145
"112 Rossinan";692;13;6;7;718
"113 Ullid";868;24;10;7;909
"Laoighis County";58388;2826;2772;1545;65531
"001 Abbeyleix";2279;120;61;49;2509
"002 Aghmacart";267;5;13;6;291
"003 Ballinakill";711;26;20;5;762
"004 Ballyroan";623;37;15;6;681
"005 Blandsfort";263;6;5;6;280
"006 Caher";77;5;0;1;83
"007 Castletown";557;36;15;14;622
"008 Clash";286;10;8;1;305
"009 Clonkeen";604;9;15;2;630
"010 Colt";203;0;2;3;208
"011 Cuffsborough";218;1;6;5;230
"012 Cullahill";327;1;2;4;334
"013 Cullenagh";86;22;0;0;108
"014 Donaghmore";229;5;1;9;244
"015 Donore";385;27;1;1;414
"016 Dunmore";205;4;6;0;215
"017 Durrow";1130;48;19;31;1228
"018 Dysartgallen";215;7;10;3;235
"019 Fossy";119;1;5;1;126
"020 Grantstown";286;12;2;1;301
"021 Kilcoke";132;12;2;5;151
"022 Kildellig";208;17;3;0;228
"023 Killermogh";313;1;4;14;332
"024 Kilnaseer";282;6;7;7;302
"025 Raheen";347;28;11;0;386
"026 Rathdowney";1152;67;23;35;1277
"027 Timahoe";497;18;1;1;517
"028 Ballyadams";321;14;8;5;348
"029 Ballylynan";932;24;108;7;1071
"030 Barrowhouse";419;2;18;1;440
"031 Curraclone";195;4;1;0;200
"032 Killabban";294;5;0;0;299
"033 Luggacurren";300;2;17;3;322
"034 Moyanna";245;9;12;1;267
"035 Rathaspick";217;6;3;0;226
"036 Stradbally";1448;41;26;5;1520
"037 Tankardstown";294;3;6;2;305
"038 Timogue";324;7;2;3;336
